polygon_id,ring_id,start_vertex_sequence,end_vertex_sequence,boundary_character,design_segment,future_geographic_feature_reserve
polygon-01,ring-01,0,19,natural_irregular_land_border,west_south_transition,
polygon-01,ring-01,20,39,natural_irregular_land_border,western_natural_border_1,
polygon-01,ring-01,40,59,natural_irregular_land_border,western_natural_border_2,
polygon-01,ring-01,60,79,natural_irregular_land_border,western_natural_border_3,
polygon-01,ring-01,80,99,natural_irregular_land_border,western_natural_border_4,
polygon-01,ring-01,100,119,natural_irregular_land_border,northwestern_highland_approach,
polygon-01,ring-01,120,139,natural_mountain_border_reserved,northwestern_highland_border_1,
polygon-01,ring-01,140,159,natural_mountain_border_reserved,northwestern_highland_border_2,
polygon-01,ring-01,160,173,straight_treaty_border,northern_treaty_section_1,
polygon-01,ring-01,174,187,straight_treaty_border,northern_treaty_section_2,
polygon-01,ring-01,188,207,natural_irregular_land_border,northeastern_natural_border,
polygon-01,ring-01,208,233,natural_coastline,northeastern_cliff_coast,cliff
polygon-01,ring-01,234,259,natural_coastline,northeastern_cape_coast,cape
polygon-01,ring-01,260,285,natural_coastline,eastern_irregular_coast_1,
polygon-01,ring-01,286,311,natural_coastline,eastern_irregular_coast_2,
polygon-01,ring-01,312,337,natural_coastline,eastern_irregular_coast_3,
polygon-01,ring-01,338,363,natural_coastline,eastern_major_bay_entry,bay
polygon-01,ring-01,364,389,natural_coastline,eastern_major_bay_inner,bay
polygon-01,ring-01,390,415,natural_coastline,eastern_natural_harbour,natural_harbour
polygon-01,ring-01,416,441,natural_coastline,eastern_estuary_reserve,estuary
polygon-01,ring-01,442,467,natural_coastline,eastern_major_bay_exit,bay
polygon-01,ring-01,468,493,natural_coastline,eastern_long_beach_sector,long_beach
polygon-01,ring-01,494,519,natural_coastline,southeastern_cape,cape
polygon-01,ring-01,520,545,natural_coastline,southeastern_cliff_sector,cliff
polygon-01,ring-01,546,571,natural_coastline,southeastern_coastal_plain_edge,
polygon-01,ring-01,572,597,natural_coastline,southeastern_long_beach_sector,long_beach
polygon-01,ring-01,598,623,natural_coastline,southern_coast_transition_1,
polygon-01,ring-01,624,649,natural_coastline,southern_coast_transition_2,
polygon-01,ring-01,650,675,natural_coastline,southern_coast_transition_3,
polygon-01,ring-01,676,695,natural_irregular_land_border,southern_natural_border,
polygon-01,ring-01,696,709,straight_treaty_border,southern_treaty_section_1,
polygon-01,ring-01,710,723,straight_treaty_border,southern_treaty_section_2,
polygon-01,ring-01,724,743,natural_irregular_land_border,southwestern_natural_border,
polygon-02,ring-01,0,71,offshore_island_coastline,offshore_island_01,island
polygon-03,ring-01,0,51,offshore_island_coastline,offshore_island_02,island
polygon-04,ring-01,0,63,offshore_island_coastline,offshore_island_03,island
polygon-05,ring-01,0,55,offshore_island_coastline,offshore_island_04,island
polygon-06,ring-01,0,59,offshore_island_coastline,offshore_island_05,island
