identifier_format_id,namespace_id,object_family,prefix,regex_pattern,sequence_width,case_sensitive,check_digit_rule,example_identifier,immutable,runtime_scoped,issuing_authority_code,status
fmt:place,ns:ngp,PLACE_SOURCE,NGP-,^NGP-\d{6}$,6,true,NONE,NGP-000001,true,false,NNGLA,ACTIVE
fmt:region,ns:ngr,ADMIN_REGION,NGR-,^NGR-\d{2}$,2,true,NONE,NGR-01,true,false,NNGLA,ACTIVE
fmt:road,ns:ng-rd,ROAD,NG-RD-,^NG-RD-\d{6}$,6,true,NONE,NG-RD-000001,true,false,NNGLA,ACTIVE
fmt:address,ns:ng-adr,ADDRESS,NG-ADR-,^NG-ADR-\d{6}$,6,true,NONE,NG-ADR-000001,true,false,NNGLA,ACTIVE
fmt:parcel,ns:nv,PARCEL,NV-,"^NV-\d{2}-\d{3}-\d{4,}$",variable,true,NONE,NV-12-004-8890,true,false,NNGLA,ACTIVE
fmt:title,ns:ng-ttl,TITLE,NG-TTL-,^NG-TTL-\d{6}$,6,true,NONE,NG-TTL-000001,true,false,NNGLA,ACTIVE
fmt:survey,ns:ng-srv,SURVEY,NG-SRV-,^NG-SRV-\d{6}$,6,true,NONE,NG-SRV-000001,true,false,NNGLA,ACTIVE
fmt:name-administrative,ns:ng-nam,GEOGRAPHIC_NAME_ADMINISTRATIVE,NG-NAM-ADM-,^NG-NAM-ADM-\d{6}$,6,true,NONE,NG-NAM-ADM-000001,true,false,NNGLA,ACTIVE
fmt:name-bay,ns:ng-nam,GEOGRAPHIC_NAME_BAY,NG-NAM-BAY-,^NG-NAM-BAY-\d{6}$,6,true,NONE,NG-NAM-BAY-000001,true,false,NNGLA,ACTIVE
fmt:name-bridge,ns:ng-nam,GEOGRAPHIC_NAME_BRIDGE,NG-NAM-BRI-,^NG-NAM-BRI-\d{6}$,6,true,NONE,NG-NAM-BRI-000001,true,false,NNGLA,ACTIVE
fmt:name-cape,ns:ng-nam,GEOGRAPHIC_NAME_CAPE,NG-NAM-CAP-,^NG-NAM-CAP-\d{6}$,6,true,NONE,NG-NAM-CAP-000001,true,false,NNGLA,ACTIVE
fmt:name-forest,ns:ng-nam,GEOGRAPHIC_NAME_FOREST,NG-NAM-FOR-,^NG-NAM-FOR-\d{6}$,6,true,NONE,NG-NAM-FOR-000001,true,false,NNGLA,ACTIVE
fmt:name-hill,ns:ng-nam,GEOGRAPHIC_NAME_HILL,NG-NAM-HIL-,^NG-NAM-HIL-\d{6}$,6,true,NONE,NG-NAM-HIL-000001,true,false,NNGLA,ACTIVE
fmt:name-island,ns:ng-nam,GEOGRAPHIC_NAME_ISLAND,NG-NAM-ISL-,^NG-NAM-ISL-\d{6}$,6,true,NONE,NG-NAM-ISL-000001,true,false,NNGLA,ACTIVE
fmt:name-lake,ns:ng-nam,GEOGRAPHIC_NAME_LAKE,NG-NAM-LAK-,^NG-NAM-LAK-\d{6}$,6,true,NONE,NG-NAM-LAK-000001,true,false,NNGLA,ACTIVE
fmt:name-landmark,ns:ng-nam,GEOGRAPHIC_NAME_LANDMARK,NG-NAM-LAN-,^NG-NAM-LAN-\d{6}$,6,true,NONE,NG-NAM-LAN-000001,true,false,NNGLA,ACTIVE
fmt:name-mountain,ns:ng-nam,GEOGRAPHIC_NAME_MOUNTAIN,NG-NAM-MOU-,^NG-NAM-MOU-\d{6}$,6,true,NONE,NG-NAM-MOU-000001,true,false,NNGLA,ACTIVE
fmt:name-plain,ns:ng-nam,GEOGRAPHIC_NAME_PLAIN,NG-NAM-PLN-,^NG-NAM-PLN-\d{6}$,6,true,NONE,NG-NAM-PLN-000001,true,false,NNGLA,ACTIVE
fmt:name-plateau,ns:ng-nam,GEOGRAPHIC_NAME_PLATEAU,NG-NAM-PLT-,^NG-NAM-PLT-\d{6}$,6,true,NONE,NG-NAM-PLT-000001,true,false,NNGLA,ACTIVE
fmt:name-river,ns:ng-nam,GEOGRAPHIC_NAME_RIVER,NG-NAM-RIV-,^NG-NAM-RIV-\d{6}$,6,true,NONE,NG-NAM-RIV-000001,true,false,NNGLA,ACTIVE
fmt:name-road,ns:ng-nam,GEOGRAPHIC_NAME_ROAD,NG-NAM-ROA-,^NG-NAM-ROA-\d{6}$,6,true,NONE,NG-NAM-ROA-000001,true,false,NNGLA,ACTIVE
fmt:name-settlement,ns:ng-nam,GEOGRAPHIC_NAME_SETTLEMENT,NG-NAM-SET-,^NG-NAM-SET-\d{6}$,6,true,NONE,NG-NAM-SET-000001,true,false,NNGLA,ACTIVE
fmt:name-square,ns:ng-nam,GEOGRAPHIC_NAME_SQUARE,NG-NAM-SQU-,^NG-NAM-SQU-\d{6}$,6,true,NONE,NG-NAM-SQU-000001,true,false,NNGLA,ACTIVE
fmt:name-valley,ns:ng-nam,GEOGRAPHIC_NAME_VALLEY,NG-NAM-VAL-,^NG-NAM-VAL-\d{6}$,6,true,NONE,NG-NAM-VAL-000001,true,false,NNGLA,ACTIVE
fmt:name-wetland,ns:ng-nam,GEOGRAPHIC_NAME_WETLAND,NG-NAM-WET-,^NG-NAM-WET-\d{6}$,6,true,NONE,NG-NAM-WET-000001,true,false,NNGLA,ACTIVE
fmt:hydrology,ns:ng-hyd,HYDROLOGY,NG-HYD-,^NG-HYD-[A-Z]{3}-\d{6}$,6,true,NONE,NG-HYD-RIV-000001,true,false,NNGLA,ACTIVE
fmt:landform,ns:ng-lfm,LANDFORM,NG-LFM-,^NG-LFM-[A-Z]{3}-\d{6}$,6,true,NONE,NG-LFM-MTN-000001,true,false,NNGLA,ACTIVE
fmt:geometry,ns:ng-geo,GEOMETRY,NG-GEO-,^NG-GEO-\d{6}$,6,true,NONE,NG-GEO-000001,true,false,NNGLA,ACTIVE
