rule_set_id,name_family_code,allowed_assignment_roles,requires_recognized_subject,primary_requires_approval,primary_requires_gazette,alternate_allowed,historic_allowed,nickname_allowed,status
namerule:nngla:administrative,ADMINISTRATIVE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:bay,BAY,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:bridge,BRIDGE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:cape,CAPE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:forest,FOREST,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:hill,HILL,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:island,ISLAND,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:lake,LAKE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:landmark,LANDMARK,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:mountain,MOUNTAIN,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:plain,PLAIN,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:plateau,PLATEAU,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:river,RIVER,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:road,ROAD,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:sea_route,SEA_ROUTE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:settlement,SETTLEMENT,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:square,SQUARE,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:valley,VALLEY,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
namerule:nngla:wetland,WETLAND,PRIMARY|ALTERNATE|HISTORIC|NICKNAME,true,true,true,true,true,true,ACTIVE
