name_family_code,catalogue_path,id_field,id_prefix,id_pattern,sequence_width,record_count,default_scope_type,eligible_subject_family,normalization_policy,allocation_authority_runtime,status
ADMINISTRATIVE,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/administrative_name_catalogue.csv,name_id,NG-NAM-ADM-,^NG\-NAM\-ADM\-[0-9]{6}$,6,400,SOVEREIGN_OR_SUBJECT_GOVERNED,MULTI,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
BAY,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/bay_name_catalogue.csv,name_id,NG-NAM-BAY-,^NG\-NAM\-BAY\-[0-9]{6}$,6,180,SOVEREIGN_OR_SUBJECT_GOVERNED,BAY,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
BRIDGE,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/bridge_name_catalogue.csv,name_id,NG-NAM-BRI-,^NG\-NAM\-BRI\-[0-9]{6}$,6,320,SOVEREIGN_OR_SUBJECT_GOVERNED,BRIDGE,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
CAPE,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/cape_name_catalogue.csv,name_id,NG-NAM-CAP-,^NG\-NAM\-CAP\-[0-9]{6}$,6,180,SOVEREIGN_OR_SUBJECT_GOVERNED,CAPE,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
FOREST,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/forest_name_catalogue.csv,name_id,NG-NAM-FOR-,^NG\-NAM\-FOR\-[0-9]{6}$,6,260,SOVEREIGN_OR_SUBJECT_GOVERNED,FOREST,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
HILL,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/hill_name_catalogue.csv,name_id,NG-NAM-HIL-,^NG\-NAM\-HIL\-[0-9]{6}$,6,280,SOVEREIGN_OR_SUBJECT_GOVERNED,HILL,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
ISLAND,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/island_name_catalogue.csv,name_id,NG-NAM-ISL-,^NG\-NAM\-ISL\-[0-9]{6}$,6,180,SOVEREIGN_OR_SUBJECT_GOVERNED,ISLAND,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
LAKE,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/lake_name_catalogue.csv,name_id,NG-NAM-LAK-,^NG\-NAM\-LAK\-[0-9]{6}$,6,220,SOVEREIGN_OR_SUBJECT_GOVERNED,LAKE,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
LANDMARK,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/landmark_name_catalogue.csv,name_id,NG-NAM-LAN-,^NG\-NAM\-LAN\-[0-9]{6}$,6,300,SOVEREIGN_OR_SUBJECT_GOVERNED,MULTI,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
MOUNTAIN,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/mountain_name_catalogue.csv,name_id,NG-NAM-MOU-,^NG\-NAM\-MOU\-[0-9]{6}$,6,260,SOVEREIGN_OR_SUBJECT_GOVERNED,MOUNTAIN,UNICODE_NFKC_CASEFOLD_COLLAPSE_WHITESPACE,production,ACTIVE
