name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-ADM-000001,Bellwether District,Bellwether District,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=District,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000002,New Carrow Ward,New Carrow Ward,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Ward,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000003,East Meridian Division,East Meridian Division,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Division,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000004,Ashbourne Territory,Ashbourne Territory,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Territory,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000005,Elmtree District,Elmtree District,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=District,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000006,Kingswell Ward,Kingswell Ward,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Ward,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000007,Brackenford Division,Brackenford Division,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Division,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000008,Rosehaven Territory,Rosehaven Territory,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Territory,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000009,Claybourne District,Claybourne District,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=District,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000010,Newstead Ward,Newstead Ward,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Ward,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000011,Larkspur Division,Larkspur Division,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Division,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ADM-000012,Eastbridge Territory,Eastbridge Territory,ADMINISTRATIVE,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Territory,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
