name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-BAY-000001,Bellwether Bay,Bellwether Bay,BAY,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Bay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000002,New Carrow Harbour,New Carrow Harbour,BAY,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Harbour,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000003,East Meridian Inlet,East Meridian Inlet,BAY,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Inlet,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000004,Ashbourne Bay,Ashbourne Bay,BAY,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Bay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000005,Elmtree Harbour,Elmtree Harbour,BAY,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Harbour,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000006,Kingswell Inlet,Kingswell Inlet,BAY,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Inlet,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000007,Brackenford Bay,Brackenford Bay,BAY,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Bay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000008,Rosehaven Harbour,Rosehaven Harbour,BAY,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Harbour,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000009,Claybourne Inlet,Claybourne Inlet,BAY,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Inlet,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BAY-000010,Newstead Bay,Newstead Bay,BAY,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Bay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
