name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-BRI-000001,Orivane Bridge,Orivane Bridge,BRIDGE,SOURCE_DERIVED,NGP-000001,Orivane,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000002,Bellwether Crossing,Bellwether Crossing,BRIDGE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000003,New Carrow Viaduct,New Carrow Viaduct,BRIDGE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Viaduct,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000004,East Meridian Bridge,East Meridian Bridge,BRIDGE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000005,Orivane Central Crossing,Orivane Central Crossing,BRIDGE,SOURCE_DERIVED,NGP-000005,Orivane Central,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000006,Civic Crescent Viaduct,Civic Crescent Viaduct,BRIDGE,SOURCE_DERIVED,NGP-000006,Civic Crescent,PLACE,prefix=NONE;suffix=Viaduct,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000007,Parliament Hill Bridge,Parliament Hill Bridge,BRIDGE,SOURCE_DERIVED,NGP-000007,Parliament Hill,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000008,Meridian Exchange Crossing,Meridian Exchange Crossing,BRIDGE,SOURCE_DERIVED,NGP-000008,Meridian Exchange,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000009,Old Orivane Viaduct,Old Orivane Viaduct,BRIDGE,SOURCE_DERIVED,NGP-000009,Old Orivane,PLACE,prefix=NONE;suffix=Viaduct,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000010,Northmere Quarter Bridge,Northmere Quarter Bridge,BRIDGE,SOURCE_DERIVED,NGP-000010,Northmere Quarter,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000011,Embassy Arc Crossing,Embassy Arc Crossing,BRIDGE,SOURCE_DERIVED,NGP-000011,Embassy Arc,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000012,University Ring Viaduct,University Ring Viaduct,BRIDGE,SOURCE_DERIVED,NGP-000012,University Ring,PLACE,prefix=NONE;suffix=Viaduct,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000013,Vondrel Gardens Bridge,Vondrel Gardens Bridge,BRIDGE,SOURCE_DERIVED,NGP-000013,Vondrel Gardens,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000014,Lysara Heights Crossing,Lysara Heights Crossing,BRIDGE,SOURCE_DERIVED,NGP-000014,Lysara Heights,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000015,Varenza Viaduct,Varenza Viaduct,BRIDGE,SOURCE_DERIVED,NGP-000015,Varenza,PLACE,prefix=NONE;suffix=Viaduct,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-BRI-000016,Tekhara Gardens Bridge,Tekhara Gardens Bridge,BRIDGE,SOURCE_DERIVED,NGP-000016,Tekhara Gardens,PLACE,prefix=NONE;suffix=Bridge,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
