name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-CAP-000001,Bellwether Cape,Bellwether Cape,CAPE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Cape,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000002,New Carrow Point,New Carrow Point,CAPE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Point,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000003,East Meridian Head,East Meridian Head,CAPE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Head,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000004,Ashbourne Cape,Ashbourne Cape,CAPE,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Cape,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000005,Elmtree Point,Elmtree Point,CAPE,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Point,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000006,Kingswell Head,Kingswell Head,CAPE,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Head,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000007,Brackenford Cape,Brackenford Cape,CAPE,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Cape,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000008,Rosehaven Point,Rosehaven Point,CAPE,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Point,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000009,Claybourne Head,Claybourne Head,CAPE,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Head,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-CAP-000010,Newstead Cape,Newstead Cape,CAPE,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Cape,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
