name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-FOR-000001,Bellwether Forest,Bellwether Forest,FOREST,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Forest,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000002,New Carrow Woods,New Carrow Woods,FOREST,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Woods,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000003,East Meridian Grove,East Meridian Grove,FOREST,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Grove,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000004,Ashbourne Forest,Ashbourne Forest,FOREST,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Forest,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000005,Elmtree Woods,Elmtree Woods,FOREST,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Woods,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000006,Kingswell Grove,Kingswell Grove,FOREST,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Grove,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000007,Brackenford Forest,Brackenford Forest,FOREST,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Forest,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000008,Rosehaven Woods,Rosehaven Woods,FOREST,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Woods,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000009,Claybourne Grove,Claybourne Grove,FOREST,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Grove,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-FOR-000010,Newstead Forest,Newstead Forest,FOREST,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Forest,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
