name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-HIL-000001,Bellwether Hill,Bellwether Hill,HILL,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Hill,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000002,New Carrow Heights,New Carrow Heights,HILL,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Heights,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000003,East Meridian Knoll,East Meridian Knoll,HILL,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Knoll,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000004,Ashbourne Hill,Ashbourne Hill,HILL,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Hill,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000005,Elmtree Heights,Elmtree Heights,HILL,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Heights,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000006,Kingswell Knoll,Kingswell Knoll,HILL,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Knoll,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000007,Brackenford Hill,Brackenford Hill,HILL,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Hill,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000008,Rosehaven Heights,Rosehaven Heights,HILL,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Heights,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000009,Claybourne Knoll,Claybourne Knoll,HILL,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Knoll,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-HIL-000010,Newstead Hill,Newstead Hill,HILL,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Hill,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
