name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-ISL-000001,Bellwether Island,Bellwether Island,ISLAND,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Island,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000002,New Carrow Isle,New Carrow Isle,ISLAND,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Isle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000003,East Meridian Cay,East Meridian Cay,ISLAND,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Cay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000004,Ashbourne Island,Ashbourne Island,ISLAND,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Island,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000005,Elmtree Isle,Elmtree Isle,ISLAND,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Isle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000006,Kingswell Cay,Kingswell Cay,ISLAND,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Cay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000007,Brackenford Island,Brackenford Island,ISLAND,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Island,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000008,Rosehaven Isle,Rosehaven Isle,ISLAND,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Isle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000009,Claybourne Cay,Claybourne Cay,ISLAND,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Cay,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000010,Newstead Island,Newstead Island,ISLAND,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Island,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ISL-000011,Larkspur Isle,Larkspur Isle,ISLAND,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Isle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
