name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-LAK-000001,Bellwether Lake,Bellwether Lake,LAKE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Lake,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000002,New Carrow Mere,New Carrow Mere,LAKE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Mere,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000003,East Meridian Waters,East Meridian Waters,LAKE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Waters,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000004,Ashbourne Lake,Ashbourne Lake,LAKE,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Lake,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000005,Elmtree Mere,Elmtree Mere,LAKE,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Mere,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000006,Kingswell Waters,Kingswell Waters,LAKE,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Waters,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000007,Brackenford Lake,Brackenford Lake,LAKE,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Lake,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000008,Rosehaven Mere,Rosehaven Mere,LAKE,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Mere,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000009,Claybourne Waters,Claybourne Waters,LAKE,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Waters,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000010,Newstead Lake,Newstead Lake,LAKE,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Lake,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000011,Larkspur Mere,Larkspur Mere,LAKE,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Mere,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000012,Eastbridge Waters,Eastbridge Waters,LAKE,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Waters,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAK-000013,Hillmark Lake,Hillmark Lake,LAKE,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Lake,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
