name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-LAN-000001,Orivane Monument,Orivane Monument,LANDMARK,SOURCE_DERIVED,NGP-000001,Orivane,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000002,Bellwether Gardens,Bellwether Gardens,LANDMARK,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000003,New Carrow Lookout,New Carrow Lookout,LANDMARK,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Lookout,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000004,East Meridian Gate,East Meridian Gate,LANDMARK,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Gate,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000005,Orivane Central Monument,Orivane Central Monument,LANDMARK,SOURCE_DERIVED,NGP-000005,Orivane Central,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000006,Civic Crescent Gardens,Civic Crescent Gardens,LANDMARK,SOURCE_DERIVED,NGP-000006,Civic Crescent,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000007,Parliament Hill Lookout,Parliament Hill Lookout,LANDMARK,SOURCE_DERIVED,NGP-000007,Parliament Hill,PLACE,prefix=NONE;suffix=Lookout,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000008,Meridian Exchange Gate,Meridian Exchange Gate,LANDMARK,SOURCE_DERIVED,NGP-000008,Meridian Exchange,PLACE,prefix=NONE;suffix=Gate,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000009,Old Orivane Monument,Old Orivane Monument,LANDMARK,SOURCE_DERIVED,NGP-000009,Old Orivane,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000010,Northmere Quarter Gardens,Northmere Quarter Gardens,LANDMARK,SOURCE_DERIVED,NGP-000010,Northmere Quarter,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000011,Embassy Arc Lookout,Embassy Arc Lookout,LANDMARK,SOURCE_DERIVED,NGP-000011,Embassy Arc,PLACE,prefix=NONE;suffix=Lookout,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000012,University Ring Gate,University Ring Gate,LANDMARK,SOURCE_DERIVED,NGP-000012,University Ring,PLACE,prefix=NONE;suffix=Gate,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000013,Vondrel Gardens Monument,Vondrel Gardens Monument,LANDMARK,SOURCE_DERIVED,NGP-000013,Vondrel Gardens,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000014,Lysara Heights Gardens,Lysara Heights Gardens,LANDMARK,SOURCE_DERIVED,NGP-000014,Lysara Heights,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000015,Varenza Lookout,Varenza Lookout,LANDMARK,SOURCE_DERIVED,NGP-000015,Varenza,PLACE,prefix=NONE;suffix=Lookout,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000016,Tekhara Gardens Gate,Tekhara Gardens Gate,LANDMARK,SOURCE_DERIVED,NGP-000016,Tekhara Gardens,PLACE,prefix=NONE;suffix=Gate,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000017,Elvarin Monument,Elvarin Monument,LANDMARK,SOURCE_DERIVED,NGP-000017,Elvarin,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000018,Nyavelle Gardens,Nyavelle Gardens,LANDMARK,SOURCE_DERIVED,NGP-000018,Nyavelle,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000019,Moraen Park Lookout,Moraen Park Lookout,LANDMARK,SOURCE_DERIVED,NGP-000019,Moraen Park,PLACE,prefix=NONE;suffix=Lookout,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000020,Tekkai Gate,Tekkai Gate,LANDMARK,SOURCE_DERIVED,NGP-000020,Tekkai,PLACE,prefix=NONE;suffix=Gate,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000021,Vondel Ridge Monument,Vondel Ridge Monument,LANDMARK,SOURCE_DERIVED,NGP-000021,Vondel Ridge,PLACE,prefix=NONE;suffix=Monument,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-LAN-000022,Aelmar Gardens,Aelmar Gardens,LANDMARK,SOURCE_DERIVED,NGP-000022,Aelmar,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
