name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-MOU-000001,Bellwether Mountain,Bellwether Mountain,MOUNTAIN,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Mountain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000002,New Carrow Peak,New Carrow Peak,MOUNTAIN,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Peak,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000003,East Meridian Mount,East Meridian Mount,MOUNTAIN,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Mount,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000004,Ashbourne Mountain,Ashbourne Mountain,MOUNTAIN,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Mountain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000005,Elmtree Peak,Elmtree Peak,MOUNTAIN,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Peak,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000006,Kingswell Mount,Kingswell Mount,MOUNTAIN,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Mount,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000007,Brackenford Mountain,Brackenford Mountain,MOUNTAIN,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Mountain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000008,Rosehaven Peak,Rosehaven Peak,MOUNTAIN,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Peak,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000009,Claybourne Mount,Claybourne Mount,MOUNTAIN,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Mount,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-MOU-000010,Newstead Mountain,Newstead Mountain,MOUNTAIN,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Mountain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
