name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-PLN-000001,Bellwether Plain,Bellwether Plain,PLAIN,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000002,New Carrow Flats,New Carrow Flats,PLAIN,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000003,East Meridian Fields,East Meridian Fields,PLAIN,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000004,Ashbourne Plain,Ashbourne Plain,PLAIN,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000005,Elmtree Flats,Elmtree Flats,PLAIN,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000006,Kingswell Fields,Kingswell Fields,PLAIN,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000007,Brackenford Plain,Brackenford Plain,PLAIN,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000008,Rosehaven Flats,Rosehaven Flats,PLAIN,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000009,Claybourne Fields,Claybourne Fields,PLAIN,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000010,Newstead Plain,Newstead Plain,PLAIN,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000011,Larkspur Flats,Larkspur Flats,PLAIN,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000012,Eastbridge Fields,Eastbridge Fields,PLAIN,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000013,Hillmark Plain,Hillmark Plain,PLAIN,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000014,Greyhaven Flats,Greyhaven Flats,PLAIN,SOURCE_DERIVED,NGP-000037,Greyhaven,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000015,Stoneleigh Fields,Stoneleigh Fields,PLAIN,SOURCE_DERIVED,NGP-000039,Stoneleigh,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000016,Lower Ashbourne Plain,Lower Ashbourne Plain,PLAIN,SOURCE_DERIVED,NGP-000049,Lower Ashbourne,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000017,Ashbourne Green Flats,Ashbourne Green Flats,PLAIN,SOURCE_DERIVED,NGP-000050,Ashbourne Green,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000018,Crescenton Fields Fields,Crescenton Fields Fields,PLAIN,SOURCE_DERIVED,NGP-000052,Crescenton Fields,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000019,Elmtree Hollow Plain,Elmtree Hollow Plain,PLAIN,SOURCE_DERIVED,NGP-000053,Elmtree Hollow,PLACE,prefix=NONE;suffix=Plain,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000020,Elmtree Brook Flats,Elmtree Brook Flats,PLAIN,SOURCE_DERIVED,NGP-000054,Elmtree Brook,PLACE,prefix=NONE;suffix=Flats,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLN-000021,Faircross Vale Fields,Faircross Vale Fields,PLAIN,SOURCE_DERIVED,NGP-000056,Faircross Vale,PLACE,prefix=NONE;suffix=Fields,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
