name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-PLT-000001,Bellwether Plateau,Bellwether Plateau,PLATEAU,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Plateau,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000002,New Carrow Tableland,New Carrow Tableland,PLATEAU,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Tableland,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000003,East Meridian Uplands,East Meridian Uplands,PLATEAU,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Uplands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000004,Ashbourne Plateau,Ashbourne Plateau,PLATEAU,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Plateau,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000005,Elmtree Tableland,Elmtree Tableland,PLATEAU,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Tableland,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000006,Kingswell Uplands,Kingswell Uplands,PLATEAU,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Uplands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000007,Brackenford Plateau,Brackenford Plateau,PLATEAU,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Plateau,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000008,Rosehaven Tableland,Rosehaven Tableland,PLATEAU,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Tableland,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000009,Claybourne Uplands,Claybourne Uplands,PLATEAU,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Uplands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000010,Newstead Plateau,Newstead Plateau,PLATEAU,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Plateau,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000011,Larkspur Tableland,Larkspur Tableland,PLATEAU,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Tableland,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000012,Eastbridge Uplands,Eastbridge Uplands,PLATEAU,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Uplands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-PLT-000013,Hillmark Plateau,Hillmark Plateau,PLATEAU,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Plateau,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
