name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-RIV-000001,Bellwether River,Bellwether River,RIVER,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=River,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000002,New Carrow Stream,New Carrow Stream,RIVER,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Stream,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000003,East Meridian Water,East Meridian Water,RIVER,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Water,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000004,Ashbourne Run,Ashbourne Run,RIVER,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Run,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000005,Elmtree River,Elmtree River,RIVER,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=River,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000006,Kingswell Stream,Kingswell Stream,RIVER,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Stream,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000007,Brackenford Water,Brackenford Water,RIVER,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Water,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000008,Rosehaven Run,Rosehaven Run,RIVER,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Run,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000009,Claybourne River,Claybourne River,RIVER,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=River,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000010,Newstead Stream,Newstead Stream,RIVER,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Stream,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-RIV-000011,Larkspur Water,Larkspur Water,RIVER,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Water,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
