name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-ROA-000001,Orivane Road,Orivane Road,ROAD,SOURCE_DERIVED,NGP-000001,Orivane,PLACE,prefix=NONE;suffix=Road,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000002,Bellwether Street,Bellwether Street,ROAD,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Street,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000003,New Carrow Avenue,New Carrow Avenue,ROAD,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Avenue,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000004,East Meridian Lane,East Meridian Lane,ROAD,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Lane,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000005,Orivane Central Drive,Orivane Central Drive,ROAD,SOURCE_DERIVED,NGP-000005,Orivane Central,PLACE,prefix=NONE;suffix=Drive,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000006,Civic Crescent Way,Civic Crescent Way,ROAD,SOURCE_DERIVED,NGP-000006,Civic Crescent,PLACE,prefix=NONE;suffix=Way,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000007,Parliament Hill Boulevard,Parliament Hill Boulevard,ROAD,SOURCE_DERIVED,NGP-000007,Parliament Hill,PLACE,prefix=NONE;suffix=Boulevard,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000008,Meridian Exchange Highway,Meridian Exchange Highway,ROAD,SOURCE_DERIVED,NGP-000008,Meridian Exchange,PLACE,prefix=NONE;suffix=Highway,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000009,Old Orivane Junction,Old Orivane Junction,ROAD,SOURCE_DERIVED,NGP-000009,Old Orivane,PLACE,prefix=NONE;suffix=Junction,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000010,Northmere Quarter Crossing,Northmere Quarter Crossing,ROAD,SOURCE_DERIVED,NGP-000010,Northmere Quarter,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000011,Embassy Arc Road,Embassy Arc Road,ROAD,SOURCE_DERIVED,NGP-000011,Embassy Arc,PLACE,prefix=NONE;suffix=Road,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000012,University Ring Street,University Ring Street,ROAD,SOURCE_DERIVED,NGP-000012,University Ring,PLACE,prefix=NONE;suffix=Street,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000013,Vondrel Gardens Avenue,Vondrel Gardens Avenue,ROAD,SOURCE_DERIVED,NGP-000013,Vondrel Gardens,PLACE,prefix=NONE;suffix=Avenue,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000014,Lysara Heights Lane,Lysara Heights Lane,ROAD,SOURCE_DERIVED,NGP-000014,Lysara Heights,PLACE,prefix=NONE;suffix=Lane,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-ROA-000015,Varenza Drive,Varenza Drive,ROAD,SOURCE_DERIVED,NGP-000015,Varenza,PLACE,prefix=NONE;suffix=Drive,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
