name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-SQU-000001,Orivane Square,Orivane Square,SQUARE,SOURCE_DERIVED,NGP-000001,Orivane,PLACE,prefix=NONE;suffix=Square,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000002,Bellwether Plaza,Bellwether Plaza,SQUARE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Plaza,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000003,New Carrow Circle,New Carrow Circle,SQUARE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Circle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000004,East Meridian Gardens,East Meridian Gardens,SQUARE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000005,Orivane Central Square,Orivane Central Square,SQUARE,SOURCE_DERIVED,NGP-000005,Orivane Central,PLACE,prefix=NONE;suffix=Square,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000006,Civic Crescent Plaza,Civic Crescent Plaza,SQUARE,SOURCE_DERIVED,NGP-000006,Civic Crescent,PLACE,prefix=NONE;suffix=Plaza,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000007,Parliament Hill Circle,Parliament Hill Circle,SQUARE,SOURCE_DERIVED,NGP-000007,Parliament Hill,PLACE,prefix=NONE;suffix=Circle,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000008,Meridian Exchange Gardens,Meridian Exchange Gardens,SQUARE,SOURCE_DERIVED,NGP-000008,Meridian Exchange,PLACE,prefix=NONE;suffix=Gardens,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000009,Old Orivane Square,Old Orivane Square,SQUARE,SOURCE_DERIVED,NGP-000009,Old Orivane,PLACE,prefix=NONE;suffix=Square,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-SQU-000010,Northmere Quarter Plaza,Northmere Quarter Plaza,SQUARE,SOURCE_DERIVED,NGP-000010,Northmere Quarter,PLACE,prefix=NONE;suffix=Plaza,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
