name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-VAL-000001,Bellwether Valley,Bellwether Valley,VALLEY,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000002,New Carrow Vale,New Carrow Vale,VALLEY,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000003,East Meridian Hollow,East Meridian Hollow,VALLEY,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Hollow,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000004,Ashbourne Valley,Ashbourne Valley,VALLEY,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000005,Elmtree Vale,Elmtree Vale,VALLEY,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000006,Kingswell Hollow,Kingswell Hollow,VALLEY,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Hollow,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000007,Brackenford Valley,Brackenford Valley,VALLEY,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000008,Rosehaven Vale,Rosehaven Vale,VALLEY,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000009,Claybourne Hollow,Claybourne Hollow,VALLEY,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Hollow,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000010,Newstead Valley,Newstead Valley,VALLEY,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000011,Larkspur Vale,Larkspur Vale,VALLEY,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000012,Eastbridge Hollow,Eastbridge Hollow,VALLEY,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Hollow,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000013,Hillmark Valley,Hillmark Valley,VALLEY,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000014,Greyhaven Vale,Greyhaven Vale,VALLEY,SOURCE_DERIVED,NGP-000037,Greyhaven,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000015,Stoneleigh Hollow,Stoneleigh Hollow,VALLEY,SOURCE_DERIVED,NGP-000039,Stoneleigh,PLACE,prefix=NONE;suffix=Hollow,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000016,Lower Ashbourne Valley,Lower Ashbourne Valley,VALLEY,SOURCE_DERIVED,NGP-000049,Lower Ashbourne,PLACE,prefix=NONE;suffix=Valley,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-VAL-000017,Ashbourne Green Vale,Ashbourne Green Vale,VALLEY,SOURCE_DERIVED,NGP-000050,Ashbourne Green,PLACE,prefix=NONE;suffix=Vale,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
