name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-WET-000001,Bellwether Wetlands,Bellwether Wetlands,WETLAND,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Wetlands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000002,New Carrow Marsh,New Carrow Marsh,WETLAND,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Marsh,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000003,East Meridian Reeds,East Meridian Reeds,WETLAND,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Reeds,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000004,Ashbourne Wetlands,Ashbourne Wetlands,WETLAND,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Wetlands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000005,Elmtree Marsh,Elmtree Marsh,WETLAND,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Marsh,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000006,Kingswell Reeds,Kingswell Reeds,WETLAND,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Reeds,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000007,Brackenford Wetlands,Brackenford Wetlands,WETLAND,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Wetlands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000008,Rosehaven Marsh,Rosehaven Marsh,WETLAND,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Marsh,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000009,Claybourne Reeds,Claybourne Reeds,WETLAND,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Reeds,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000010,Newstead Wetlands,Newstead Wetlands,WETLAND,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Wetlands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000011,Larkspur Marsh,Larkspur Marsh,WETLAND,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Marsh,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000012,Eastbridge Reeds,Eastbridge Reeds,WETLAND,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Reeds,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
NG-NAM-WET-000013,Hillmark Wetlands,Hillmark Wetlands,WETLAND,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Wetlands,AVAILABLE,NoveGeo 700-place corpus + tribes + governed person-name seeds,SHARED_REFERENCE,ACTIVE
