assignment_candidate_id,source_feature_id,feature_type_code,name_id,canonical_name,assignment_status,effective_from,effective_to,gazette_reference,source_basis,runtime_effect_scope
NG-NAME-ASN-000001,river:novegeo:r000001,RIVER,NG-NAM-RIV-000001,Bellwether River,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000002,river:novegeo:r000002,RIVER,NG-NAM-RIV-000002,New Carrow Stream,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000003,river:novegeo:r000003,RIVER,NG-NAM-RIV-000003,East Meridian Water,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000004,river:novegeo:r000004,RIVER,NG-NAM-RIV-000004,Ashbourne Run,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000005,river:novegeo:r000005,RIVER,NG-NAM-RIV-000005,Elmtree River,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000006,lake:novegeo:l000001,LAKE,NG-NAM-LAK-000001,Bellwether Lake,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000007,lake:novegeo:l000002,LAKE,NG-NAM-LAK-000002,New Carrow Mere,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000008,lake:novegeo:l000003,LAKE,NG-NAM-LAK-000003,East Meridian Waters,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000009,landform:novegeo:mountain:001,MOUNTAIN,NG-NAM-MOU-000001,Bellwether Mountain,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000010,landform:novegeo:mountain:002,MOUNTAIN,NG-NAM-MOU-000002,New Carrow Peak,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000011,landform:novegeo:mountain:003,MOUNTAIN,NG-NAM-MOU-000003,East Meridian Mount,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000012,landform:novegeo:valley:001,VALLEY,NG-NAM-VAL-000001,Bellwether Valley,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000013,landform:novegeo:valley:002,VALLEY,NG-NAM-VAL-000002,New Carrow Vale,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000014,landform:novegeo:valley:003,VALLEY,NG-NAM-VAL-000003,East Meridian Hollow,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000015,landform:novegeo:plain:001,PLAIN,NG-NAM-PLN-000001,Bellwether Plain,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000016,landform:novegeo:plain:002,PLAIN,NG-NAM-PLN-000002,New Carrow Flats,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000017,landform:novegeo:plain:003,PLAIN,NG-NAM-PLN-000003,East Meridian Fields,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000018,landform:novegeo:plateau:001,PLATEAU,NG-NAM-PLT-000001,Bellwether Plateau,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000019,landform:novegeo:plateau:002,PLATEAU,NG-NAM-PLT-000002,New Carrow Tableland,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
NG-NAME-ASN-000020,landform:novegeo:plateau:003,PLATEAU,NG-NAM-PLT-000003,East Meridian Uplands,PROPOSED_UNGAZETTED,,,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming,SHARED_REFERENCE
