result_id,assignment_candidate_id,subject_id,name_id,canonical_name,assignment_role,source_assignment_status,result_status,official_effect,gazette_reference,source_basis
nameasnresult:nngla:ca7195f3199826428b44c61ab5fb6ce3e1cd1e96f71941a491e7ea171f7bea44,NG-NAME-ASN-000001,river:novegeo:r000001,NG-NAM-RIV-000001,Bellwether River,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:9d62974fd7790310d95cd6e79a03802c53273116650b5aabfb62ec121dc71858,NG-NAME-ASN-000002,river:novegeo:r000002,NG-NAM-RIV-000002,New Carrow Stream,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:03f361429df696f0d86864848d75f307b560cca4aeac60062668512b876e08ef,NG-NAME-ASN-000003,river:novegeo:r000003,NG-NAM-RIV-000003,East Meridian Water,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:f95a3b9bdcdb560f5aa732159d62169755f7c428870076979a417b12bfd8a2f8,NG-NAME-ASN-000004,river:novegeo:r000004,NG-NAM-RIV-000004,Ashbourne Run,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:90d9ee93de27369bd7d8751972bc9a85f93c7040e42376112d37e3ab2e7a3d9c,NG-NAME-ASN-000005,river:novegeo:r000005,NG-NAM-RIV-000005,Elmtree River,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:72a04ea0e2eef95fc63045dafa2516da673f1267a600becf75fabe819fe7a4de,NG-NAME-ASN-000006,lake:novegeo:l000001,NG-NAM-LAK-000001,Bellwether Lake,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:b711f0b273b10121475e5c3ab421d49036db46218e8a9384badd874eee980777,NG-NAME-ASN-000007,lake:novegeo:l000002,NG-NAM-LAK-000002,New Carrow Mere,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:74c2c98a4c32cfdaf69f17e555c9cacf0668efed057a2986851f130dd117cf09,NG-NAME-ASN-000008,lake:novegeo:l000003,NG-NAM-LAK-000003,East Meridian Waters,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:688da29750d5aa5595a022775fcd0ecbe44211b5e44e33e9ffd070052d553216,NG-NAME-ASN-000009,landform:novegeo:mountain:001,NG-NAM-MOU-000001,Bellwether Mountain,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:93f6b278efe4d546cf199581ead1ae0e17ac20c42878e2695bf27cb7552e8f9b,NG-NAME-ASN-000010,landform:novegeo:mountain:002,NG-NAM-MOU-000002,New Carrow Peak,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
nameasnresult:nngla:4547cea3692993354e67765554d1d32434c2e7a95a8329c31891d3ff9efbfa1d,NG-NAME-ASN-000011,landform:novegeo:mountain:003,NG-NAM-MOU-000003,East Meridian Mount,PRIMARY,PROPOSED_UNGAZETTED,PRESERVED_PROPOSED_UNGAZETTED,false,,Deterministic Phase D proposal from populated naming catalogue; not yet legal naming
