geometry_version_candidate_id,subject_type,subject_id,geometry_role_code,source_geometry_id,source_dataset_id,source_version,geometry_type_code,crs_code,authoritative_level,vertex_count,part_count,valid_from,valid_to,supersedes_geometry_id,superseded_by_geometry_id,qualification_status,publication_status,checksum_sha256,source_path_reference,runtime_effect_scope,notes
NG-GEO-000001,COUNTRY,country:novegeo,SOVEREIGN_BOUNDARY,boundary:novegeo:sovereign:v002,dataset:novegeo:world-boundary,2,MULTIPOLYGON,NG-CRS-EPSG4326,AUTHORITATIVE,1048,6,2026-08-12,,boundary:novegeo:sovereign:v001,,QUALIFIED,PUBLISHED,3f1c2f85676c6dca8e2d7dade2f70b50b21d9605c600f850f04d82d1547865b8,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,SHARED_REFERENCE,Active v002 sovereign geometry; checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000002,RIVER,river:novegeo:r000001,CHANNEL_CENTERLINE,river:novegeo:r000001:geometry:v1,dataset:novegeo:hydrology:surface-water,1,LINESTRING,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000003,RIVER,river:novegeo:r000002,CHANNEL_CENTERLINE,river:novegeo:r000002:geometry:v1,dataset:novegeo:hydrology:surface-water,1,LINESTRING,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000004,RIVER,river:novegeo:r000003,CHANNEL_CENTERLINE,river:novegeo:r000003:geometry:v1,dataset:novegeo:hydrology:surface-water,1,LINESTRING,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000005,RIVER,river:novegeo:r000004,CHANNEL_CENTERLINE,river:novegeo:r000004:geometry:v1,dataset:novegeo:hydrology:surface-water,1,LINESTRING,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000006,RIVER,river:novegeo:r000005,CHANNEL_CENTERLINE,river:novegeo:r000005:geometry:v1,dataset:novegeo:hydrology:surface-water,1,LINESTRING,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000007,LAKE,lake:novegeo:l000001,WATERBODY_BOUNDARY,lake:novegeo:l000001:geometry:v1,dataset:novegeo:hydrology:surface-water,1,POLYGON,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000008,LAKE,lake:novegeo:l000002,WATERBODY_BOUNDARY,lake:novegeo:l000002:geometry:v1,dataset:novegeo:hydrology:surface-water,1,POLYGON,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000009,LAKE,lake:novegeo:l000003,WATERBODY_BOUNDARY,lake:novegeo:l000003:geometry:v1,dataset:novegeo:hydrology:surface-water,1,POLYGON,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,0eb0f0cd402a7a493732e90231a6b96f2e3e99eb2a826ee58c36f5b6125f20f2,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000010,MOUNTAIN,landform:novegeo:mountain:001,LANDFORM_REFERENCE_POINT,landform:novegeo:mountain:001:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000011,MOUNTAIN,landform:novegeo:mountain:002,LANDFORM_REFERENCE_POINT,landform:novegeo:mountain:002:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000012,MOUNTAIN,landform:novegeo:mountain:003,LANDFORM_REFERENCE_POINT,landform:novegeo:mountain:003:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000013,VALLEY,landform:novegeo:valley:001,LANDFORM_REFERENCE_POINT,landform:novegeo:valley:001:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000014,VALLEY,landform:novegeo:valley:002,LANDFORM_REFERENCE_POINT,landform:novegeo:valley:002:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000015,VALLEY,landform:novegeo:valley:003,LANDFORM_REFERENCE_POINT,landform:novegeo:valley:003:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
NG-GEO-000016,PLAIN,landform:novegeo:plain:001,LANDFORM_REFERENCE_POINT,landform:novegeo:plain:001:geometry:v1,dataset:novegeo:landforms,1,POINT,NG-CRS-EPSG4326,QUALIFIED_SOURCE,,1,2026-08-12,,,,QUALIFIED,SOURCE_AVAILABLE,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,SHARED_REFERENCE,checksum_sha256=SHA256(source_path_reference artifact)
