road_segment_id,road_id,source_road_candidate_id,segment_sequence,segment_role,geometry_id,start_measure_m,end_measure_m,geometry_status,addressing_scope_eligible,runtime_effect_scope,source_reference
roadseg:nngla:83f53601805cf4ce37315050cc10677f98dfbe14e3bdab2ffb67779008f9f084,NG-RD-000001,NG-RD-CAND-000001,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:ab6408c1439341c0962d977ba9d82399fce0cfac822fd25f073dcd9f05607982,NG-RD-000002,NG-RD-CAND-000002,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:1db287826e821cbe3139b2aca8a61543e4fb6f4ef72c385f5e708ef1c0b1de46,NG-RD-000003,NG-RD-CAND-000003,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:4395c709562f6c896e5382d28b36f509b2d5635b254fa4f993d5c63567b76f3f,NG-RD-000004,NG-RD-CAND-000004,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d30ec55c57297af3c6af2c88d28b9085b296d0ced69827da6381563c5abfb238,NG-RD-000005,NG-RD-CAND-000005,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:3d87b4e9116441096bc22b4541dbe998dd5bb6ff14ea47eebd6c7bb1babaab9d,NG-RD-000006,NG-RD-CAND-000006,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:881f55a9430f0f9c9eb4d3a30f05fa12fc4c1075d0e51e3ac60b35671985f71f,NG-RD-000007,NG-RD-CAND-000007,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:d5dd708d526dfbb465e5ea7a5fc5742a648ae242638bf63cae62472cca8c7f8a,NG-RD-000008,NG-RD-CAND-000008,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:8140d91839af6dec8bdbe13dce1005590d498ba2ddb67f5009be2b6dcbb92341,NG-RD-000009,NG-RD-CAND-000009,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
roadseg:nngla:227152fd72f1613099baf66740a67befc4b78e7afab229c427ba8b79742a1189,NG-RD-000010,NG-RD-CAND-000010,1,PROVISIONAL_WHOLE_ROAD_ADDRESS_SCOPE,,,,DEFERRED_NO_ROAD_GEOMETRY,true,SHARED_REFERENCE,P006.7.11.7.9 canonical road alignment + locked road reference candidate
