road_candidate_id,road_name_id,canonical_name,road_class_code,source_name_family,planning_status,geometry_status,geometry_reference,addressing_eligible,region_code,source_basis,runtime_effect_scope
NG-RD-CAND-000001,NG-NAM-ROA-000001,Orivane Road,LOCAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000002,NG-NAM-ROA-000002,Bellwether Street,MUNICIPAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000003,NG-NAM-ROA-000003,New Carrow Avenue,DISTRICT,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000004,NG-NAM-ROA-000004,East Meridian Lane,REGIONAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000005,NG-NAM-ROA-000005,Orivane Central Drive,RURAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000006,NG-NAM-ROA-000006,Civic Crescent Way,ACCESS,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000007,NG-NAM-ROA-000007,Parliament Hill Boulevard,SERVICE,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000008,NG-NAM-ROA-000008,Meridian Exchange Highway,LOCAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000009,NG-NAM-ROA-000009,Old Orivane Junction,MUNICIPAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000010,NG-NAM-ROA-000010,Northmere Quarter Crossing,DISTRICT,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000011,NG-NAM-ROA-000011,Embassy Arc Road,REGIONAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000012,NG-NAM-ROA-000012,University Ring Street,RURAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000013,NG-NAM-ROA-000013,Vondrel Gardens Avenue,ACCESS,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000014,NG-NAM-ROA-000014,Lysara Heights Lane,SERVICE,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000015,NG-NAM-ROA-000015,Varenza Drive,LOCAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000016,NG-NAM-ROA-000016,Tekhara Gardens Way,MUNICIPAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000017,NG-NAM-ROA-000017,Elvarin Boulevard,DISTRICT,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000018,NG-NAM-ROA-000018,Nyavelle Highway,REGIONAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000019,NG-NAM-ROA-000019,Moraen Park Junction,RURAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000020,NG-NAM-ROA-000020,Tekkai Crossing,ACCESS,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000021,NG-NAM-ROA-000021,Vondel Ridge Road,SERVICE,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000022,NG-NAM-ROA-000022,Aelmar Street,LOCAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
NG-RD-CAND-000023,NG-NAM-ROA-000023,Sabaro Avenue,MUNICIPAL,PLACE,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,true,NGR-01,Derived governed road name catalogue,SHARED_REFERENCE
