catalogue_id,folder_family,file_name,row_count,dataset_class,migration_eligibility,source_basis,spatial_dependency,status
CAT-0001,01_country_runtime,nexilabs_application_runtime_register.csv,2,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0002,01_country_runtime,nexilabs_approval_state_register.csv,7,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0003,01_country_runtime,nexilabs_record_effect_scope_register.csv,5,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0004,01_country_runtime,nexilabs_runtime_authority_matrix.csv,18,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0005,01_country_runtime,nexilabs_world_realm_register.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0006,01_country_runtime,novegeo_calendar_definition.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0007,01_country_runtime,novegeo_code_namespace.csv,11,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0008,01_country_runtime,novegeo_country_profile.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0009,01_country_runtime,novegeo_date_time_format_policy.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0010,01_country_runtime,novegeo_runtime_timezone_mapping.csv,2,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0011,01_country_runtime,novegeo_timezone_definition.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0012,02_controlled_codes,coordinate_reference_systems.csv,1,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0013,02_controlled_codes,feature_lifecycle_status_codes.csv,20,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0014,02_controlled_codes,feature_type_codes.csv,49,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0015,02_controlled_codes,gazette_action_types.csv,17,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0016,02_controlled_codes,geometry_type_codes.csv,6,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0017,02_controlled_codes,land_use_codes.csv,13,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0018,02_controlled_codes,naming_status_codes.csv,15,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0019,02_controlled_codes,road_classification_codes.csv,10,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0020,02_controlled_codes,state_land_categories.csv,6,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0021,02_controlled_codes,survey_accuracy_classes.csv,6,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0022,02_controlled_codes,tenure_types.csv,7,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0023,02_controlled_codes,title_types.csv,6,REAL_COMPLETE_CONTROLLED_VOCABULARY,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0024,03_authority_identifiers,novegeo_authority_record.csv,1,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0025,03_authority_identifiers,novegeo_authority_role_register.csv,10,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0026,03_authority_identifiers,novegeo_controlled_vocabulary.csv,156,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0027,03_authority_identifiers,novegeo_data_classification_register.csv,6,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0028,03_authority_identifiers,novegeo_identifier_format_register.csv,28,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0029,04_name_catalogues,administrative_name_catalogue.csv,400,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0030,04_name_catalogues,bay_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0031,04_name_catalogues,bridge_name_catalogue.csv,320,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
CAT-0032,04_name_catalogues,cape_name_catalogue.csv,180,REAL_POPULATED_DATASET,READY_FOR_MIGRATION_PLANNING,See family README and row-level provenance,false,ACTIVE
