administrative_candidate_id,source_record_id,administrative_type_code,canonical_name,parent_source_record_id,region_code,boundary_status,geometry_reference,lifecycle_status_code,runtime_effect_scope,source_basis,candidate_status
NG-ADM-CAND-000001,NGR-01,REGION,Orivane Capital Territory,country:novegeo,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000002,NGR-02,REGION,Aelvar Highlands,country:novegeo,NGR-02,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000003,NGR-03,REGION,Vondrel Plateau,country:novegeo,NGR-03,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000004,NGR-04,REGION,Nyara Basin,country:novegeo,NGR-04,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000005,NGR-05,REGION,Tekhara Rainbelt,country:novegeo,NGR-05,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000006,NGR-06,REGION,Barazin Drylands,country:novegeo,NGR-06,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000007,NGR-07,REGION,Lysaran Coast,country:novegeo,NGR-07,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000008,NGR-08,REGION,Sabaran Gulf,country:novegeo,NGR-08,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry region hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000009,NGP-000001,CITY,Orivane,NGR-01,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000010,NGP-000002,MUNICIPALITY,Bellwether,NGR-01,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000011,NGP-000003,MUNICIPALITY,New Carrow,NGR-01,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000012,NGP-000004,MUNICIPALITY,East Meridian,NGR-01,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000013,NGP-000005,CITY_DISTRICT,Orivane Central,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000014,NGP-000006,CITY_DISTRICT,Civic Crescent,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000015,NGP-000007,CITY_DISTRICT,Parliament Hill,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000016,NGP-000008,CITY_DISTRICT,Meridian Exchange,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000017,NGP-000009,CITY_DISTRICT,Old Orivane,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000018,NGP-000010,CITY_DISTRICT,Northmere Quarter,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000019,NGP-000011,CITY_DISTRICT,Embassy Arc,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000020,NGP-000012,CITY_DISTRICT,University Ring,NGP-000001,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000021,NGP-000040,TOWNSHIP,Maple Junction,NGP-000002,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000022,NGP-000041,TOWNSHIP,South Bell,NGP-000002,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000023,NGP-000042,TOWNSHIP,Orchard End,NGP-000002,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000024,NGP-000043,TOWNSHIP,Carrowfield,NGP-000003,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000025,NGP-000044,TOWNSHIP,West Carrow,NGP-000003,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
NG-ADM-CAND-000026,NGP-000045,TOWNSHIP,Low Crescent,NGP-000003,NGR-01,BOUNDARY_PENDING_LEGALIZATION,,PROVISIONAL,SHARED_REFERENCE,700-place registry administrative hierarchy,READY_NONSPATIAL
