feature_candidate_id,source_feature_id,feature_type_code,source_dataset_id,source_dataset_version,physical_origin_class,lifecycle_status_code,recognition_status,primary_geometry_role,source_geometry_reference,crs_code,centroid_lon,centroid_lat,physical_origin_time,detected_time,recognized_time,physical_end_time,runtime_effect_scope,source_authority,source_basis,candidate_status,notes
NG-FEAT-000001,boundary-part:1,MAINLAND,dataset:novegeo:world-boundary,2,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,AUTHORITATIVE_BOUNDARY,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,NG-CRS-EPSG4326,,,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified sovereign geometry lineage,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000002,river:novegeo:r000001,RIVER,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,CHANNEL_CENTERLINE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,34.615327,2.293297,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000003,river:novegeo:r000002,RIVER,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,CHANNEL_CENTERLINE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,38.286046,3.925442,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000004,river:novegeo:r000003,RIVER,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,CHANNEL_CENTERLINE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,33.885123,5.276298,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000005,river:novegeo:r000004,RIVER,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,CHANNEL_CENTERLINE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,34.038032,-2.537528,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000006,river:novegeo:r000005,RIVER,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,CHANNEL_CENTERLINE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,32.214135,2.910223,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000007,lake:novegeo:l000001,LAKE,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,WATERBODY_BOUNDARY,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,32.218824,-3.307467,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000008,lake:novegeo:l000002,LAKE,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,WATERBODY_BOUNDARY,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,37.676471,5.092533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000009,lake:novegeo:l000003,LAKE,dataset:novegeo:hydrology:surface-water,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,WATERBODY_BOUNDARY,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,NG-CRS-EPSG4326,36.420000,-4.147467,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified hydrology v001,READY_FOR_NNGLA_RECOGNITION,
NG-FEAT-000010,landform:novegeo:mountain:001,MOUNTAIN,dataset:novegeo:landforms,1,NATURAL,RECOGNIZED,QUALIFIED_SOURCE,LANDFORM_REFERENCE_POINT,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,NG-CRS-EPSG4326,34.72,2.152533,,,,,SHARED_REFERENCE,NoveGeo Geography,Qualified landforms v001,READY_FOR_NNGLA_RECOGNITION,elevation_m=2778
