hash_record_id,file_path,sha256,byte_size,calculated_at
HASH-0001,00_manifest/README.md,c2d05772b0d7afbb62dfc93e1f45a6a46acf6f4cad38af7ab27fda2a37716b0e,723,2026-08-13
HASH-0002,00_manifest/artifact_inventory.csv,267a4dcfa72169dc31d342a1ac50f34bb5f691e91a2e800fb8100bb0422b859e,7035,2026-08-13
HASH-0003,00_manifest/csv_catalogue_manifest.csv,8f7d0c3e632e33a5939bc70fabcca8eb2580c292a623b34a5d130c6970fa9d3d,9926,2026-08-13
HASH-0004,00_manifest/csv_field_dictionary.csv,1ee2dfecc6491cd0cd89b0ea319bbf4199e35cd58185015860b42bf3af622b34,69631,2026-08-13
HASH-0005,01_country_runtime/README.md,17b758d5e8c697dd72721d1c81711fcfa948407834801d190d02ce1c2cc07449,297,2026-08-13
HASH-0006,01_country_runtime/nexilabs_application_runtime_register.csv,581c70064bc69b2d34b82ff81c62b19ebcb02e776e6d335a18cebe8858c0d2f5,201,2026-08-13
HASH-0007,01_country_runtime/nexilabs_approval_state_register.csv,1a22c3e22478b0cd4deddbd134d8e49209121f86d2303281e5da3aa78bc531dc,281,2026-08-13
HASH-0008,01_country_runtime/nexilabs_record_effect_scope_register.csv,c36830d443b8ac84c58020a9405ebc5f4ff02b514a778521f9b883862b7d0950,349,2026-08-13
HASH-0009,01_country_runtime/nexilabs_runtime_authority_matrix.csv,e387af200567d1719c882020a4e502a62598f72371af7fb5ad5b1fdd26c38808,2770,2026-08-13
HASH-0010,01_country_runtime/nexilabs_world_realm_register.csv,c068b679d46e20047a4584c157982d1988422b7d802585ac6d6c1c5f4ce96c76,189,2026-08-13
HASH-0011,01_country_runtime/novegeo_calendar_definition.csv,8f175c7aed17931ae8bd5799497c42bdbce5de1d537d186aaf9f66306bcc2ce4,164,2026-08-13
HASH-0012,01_country_runtime/novegeo_code_namespace.csv,58feac3cd25a4880b96c86a07a22107a35e5f4fdf3b86683428a480dca3875bb,1380,2026-08-13
HASH-0013,01_country_runtime/novegeo_country_profile.csv,ad2b3868b6178ea117451980b7b336f2c80f508e619f5d81a36f590ee5064905,546,2026-08-13
HASH-0014,01_country_runtime/novegeo_date_time_format_policy.csv,7925129710c6bc79f50af35cb5f1dd8bdb46cdfda0de9cdcaa5975b160801a74,151,2026-08-13
HASH-0015,01_country_runtime/novegeo_runtime_timezone_mapping.csv,fe3bfb617311e21f1ff5ba34b2cfa66cffd7c14ab1ec39596d694d28e6f58676,198,2026-08-13
HASH-0016,01_country_runtime/novegeo_timezone_definition.csv,3cc8105288e10f93f68c8fae21a4c91acd7f3f7bc162eb37483ffb7c3fa3c0a5,186,2026-08-13
HASH-0017,02_controlled_codes/README.md,adb6a77310dc3afa0b265a55dba37c0bd0ae01b0d03aeb06b835c2c017fbc6f3,331,2026-08-13
HASH-0018,02_controlled_codes/coordinate_reference_systems.csv,bb5a1a3323b2755efb7e2cc036c3b11fc8ba65ffdf8cb0b392c843de178062f1,309,2026-08-13
HASH-0019,02_controlled_codes/feature_lifecycle_status_codes.csv,24478ec84a50c8371827d341e4cfaae79e6d56e229ca03d64ddc30fa7de7c3cb,1312,2026-08-13
HASH-0020,02_controlled_codes/feature_type_codes.csv,f098ab2c5e47287764aca78c0cfa150810e8aecfab7ac821b9c1230c553c0a27,5417,2026-08-13
HASH-0021,02_controlled_codes/gazette_action_types.csv,8dac80b16ca9ef67e7584cfa90837433a4d900814581174d285c34c7f3be722e,1077,2026-08-13
HASH-0022,02_controlled_codes/geometry_type_codes.csv,d12d578b91ca4be256a05954078eaebbd143f3015f88dcc73cc5ecaaa59b0308,568,2026-08-13
HASH-0023,02_controlled_codes/land_use_codes.csv,4d929c22156bbf679b45edf91e62631f876b56234d787226633674066d348677,907,2026-08-13
HASH-0024,02_controlled_codes/naming_status_codes.csv,c5e97d2266bcf64f9f963ff267d6819e530937a422744a745687af5adaa18291,1062,2026-08-13
HASH-0025,02_controlled_codes/road_classification_codes.csv,1f995ea9576b9ce0dd7557f4da11ab0a5c6ee64814b655c22725759c473e889a,982,2026-08-13
