place_type_code,placement_mode,parent_distance_min_km,parent_distance_max_km,minimum_separation_km,footprint_policy,footprint_radius_km,minimum_footprint_radius_km,reference_point_policy,policy_status,runtime_effect_scope
CITY,REGION_ANCHOR,0,0,20,REQUIRED,30,12,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
MUNICIPALITY,MAJOR_CITY_ORBIT,45,80,12,REQUIRED,14,6,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
CITY_DISTRICT,PARENT_ORBIT,3,12,1.5,REQUIRED,3.5,1.5,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
SUBURB,PARENT_ORBIT,10,28,2.5,REQUIRED,4,1.5,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
TOWN,PARENT_ORBIT,25,55,5,REQUIRED,8,3,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
TOWNSHIP,PARENT_ORBIT,12,32,4,REQUIRED,6,2.5,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
VILLAGE,PARENT_ORBIT,5,18,2.5,POINT_ONLY,0,0,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,ACTIVE,SHARED_REFERENCE
MARKET_CENTRE,PARENT_ORBIT,2,8,1.5,POINT_ONLY,0,0,POINT_ONLY_NO_JUSTIFIED_SETTLEMENT_EXTENT,ACTIVE,SHARED_REFERENCE
INDUSTRIAL_ZONE,PARENT_ORBIT,12,25,3,REQUIRED,5,2,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
RESORT_SETTLEMENT,PARENT_ORBIT,8,20,2.5,REQUIRED,4,1.5,QUALIFIED_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
ISLAND_SETTLEMENT,ISLAND_POLICY,0,0,1,REQUIRED_UNLESS_EXPLICIT_EXCEPTION,1.5,0.4,QUALIFIED_ISLAND_REFERENCE_POINT,ACTIVE,SHARED_REFERENCE
