source_place_code,place_id,place_type_code,region_code,reference_point_status,reference_sovereign_part_id,supporting_spatial_point_id,footprint_status,footprint_candidate_id,point_only_reason,parent_spatial_evidence_status,parent_footprint_relation,sovereign_containment_status,geometry_identity_separation_status,administrative_legal_boundary_status,publication_status,overall_qualification_status
NGP-000001,NG-PLC-000001,CITY,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:b9fa25750e9988a79dc39a402d61022ad6e20e1fdb87160b442bd7de985d8a44,,NOT_APPLICABLE_ROOT,,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000002,NG-PLC-000002,MUNICIPALITY,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000664,PASS,placefootprint:nngla:c883efe4f41d4f0efa9bfc648d7a2e3bc24e9f490cb9eeab025d1bc91f81e748,,NOT_APPLICABLE_ROOT,,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000003,NG-PLC-000003,MUNICIPALITY,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000630,PASS,placefootprint:nngla:e7b99ebfa4be02c4babd63fe11dc519adb1f8447e23baacb96966585f9ae612f,,NOT_APPLICABLE_ROOT,,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000004,NG-PLC-000004,MUNICIPALITY,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000628,PASS,placefootprint:nngla:1bd2eff016d2b0e143bfb8cf64c1184083bc800c2dbcd50f5536e164b9a7e89b,,NOT_APPLICABLE_ROOT,,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000005,NG-PLC-000005,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:0e0683e620288c31119aee7ba9e0ddeb7a4bd1cc4a27cd1d3fd4fa642f3af91b,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000006,NG-PLC-000006,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:9f20538e13de13af533fc04b64de453adfb36ddb169d2eafa948cbd60d012a13,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000007,NG-PLC-000007,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:6220e6b21df4c175e79c9fcc5ca5765c25c33d0aabe0ac75d7e27e62e7ddedd1,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000008,NG-PLC-000008,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:0ef8460c1b4ad7c51db28a03103e45480624b702d9b41b70727b720c6d0e6f15,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000009,NG-PLC-000009,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:0569cc476e28eaa806f7970a30f1ec45acc6c05500d2dcd4bf1ce5c7c6cbdb8d,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
NGP-000010,NG-PLC-000010,CITY_DISTRICT,NGR-01,PASS,NG-SOV-PART-000001,NG-SPT-000629,PASS,placefootprint:nngla:95cbed7330cfff9fca9a76c4d9546d8d91055a6b3bec8456369a74907358ca48,,PASS,WITHIN,PASS,PASS,NOT_CREATED_BY_P006.7.11.10,NOT_PUBLISHED,PASS
