reference_candidate_id,source_place_code,place_id,canonical_name,place_type_code,region_code,parent_source_place_code,longitude,latitude,crs_code,sovereign_part_id,supporting_spatial_point_id,support_distance_m,placement_basis,geometry_role_code,geometry_reservation_key,geometry_id,geometry_id_state,spatial_assignment_status,outcome_status,exception_code,runtime_mode,runtime_effect_scope,publication_status,legal_boundary_status
placeref:nngla:daeab413be968a99199c0261c14154c9b222d4bb522a06a3748a7b02d8d1457e,NGP-000001,NG-PLC-000001,Orivane,CITY,NGR-01,,36.400000000,0.892533000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,0.000,REGION_ANCHOR_POLICY:NGR-01:NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000001,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:37f528b191e8694d2d5c5c9feb927f7a57da088095d435fafa2c61c06834496f,NGP-000002,NG-PLC-000002,Bellwether,MUNICIPALITY,NGR-01,,36.662684000,1.200426000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000664,21476.602,DETERMINISTIC_MAJOR_CITY_ORBIT:PARENT=NG-PLC-000001:POLICY=MUNICIPALITY:ATTEMPT=0:SUPPORT=NG-SPT-000664,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000002,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:bd0fe071810b6995fd7d2e77a5e049b230f6cfb526019544b83d16830a727656,NGP-000003,NG-PLC-000003,New Carrow,MUNICIPALITY,NGR-01,,36.878985000,0.722731000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000630,19987.685,DETERMINISTIC_MAJOR_CITY_ORBIT:PARENT=NG-PLC-000001:POLICY=MUNICIPALITY:ATTEMPT=0:SUPPORT=NG-SPT-000630,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000003,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:2ea145f6804a3d5fe54552677739095c692bb1f6f973745c1685085c5bcc48ae,NGP-000004,NG-PLC-000004,East Meridian,MUNICIPALITY,NGR-01,,35.780712000,1.058572000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000628,28840.736,DETERMINISTIC_MAJOR_CITY_ORBIT:PARENT=NG-PLC-000001:POLICY=MUNICIPALITY:ATTEMPT=0:SUPPORT=NG-SPT-000628,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000004,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:34a05a78196b68f3cabf826d37d9f46b1a32e167dbb798fa94295f88d30c8990,NGP-000005,NG-PLC-000005,Orivane Central,CITY_DISTRICT,NGR-01,NGP-000001,36.373039000,0.893624000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,3000.020,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=0:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000005,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:718c2453beacc7b0421de97fca802ffcf6e685629815f72d92d18ab84a46ac89,NGP-000006,NG-PLC-000006,Civic Crescent,CITY_DISTRICT,NGR-01,NGP-000001,36.409173000,0.802353000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,10079.304,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=0:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000006,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:a9538ecd5cc7ed49b3dfd257e610353c640a1db76c341f672e6d3a80867efda8,NGP-000007,NG-PLC-000007,Parliament Hill,CITY_DISTRICT,NGR-01,NGP-000001,36.330811000,0.918305000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,8208.968,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=0:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000007,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:484b09342702e4a81ab8ff3b53a2b4edaf3f7841e4919486f90db953c0d9e8cc,NGP-000008,NG-PLC-000008,Meridian Exchange,CITY_DISTRICT,NGR-01,NGP-000001,36.414137000,0.842203000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,5812.980,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=0:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000008,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:6c1e93c0ea9a60beac2fd9ce9c3af48043ed061a75ed7fd6d3446ff6105c7a99,NGP-000009,NG-PLC-000009,Old Orivane,CITY_DISTRICT,NGR-01,NGP-000001,36.355529000,0.920172000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,5821.664,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=1:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000009,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
placeref:nngla:bca500d17b864e011d76ce3371f36f223b9936c5b4d7b95acea86a439c2c4e31,NGP-000010,NG-PLC-000010,Northmere Quarter,CITY_DISTRICT,NGR-01,NGP-000001,36.336781000,0.962406000,NG-CRS-EPSG4326,NG-SOV-PART-000001,NG-SPT-000629,10477.049,DETERMINISTIC_PARENT_ORBIT:PARENT=NG-PLC-000001:POLICY=CITY_DISTRICT:ATTEMPT=0:SUPPORT=NG-SPT-000629,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000010,,PENDING_GOVERNED_LIVE_RESERVATION,QUALIFIED_PENDING_LIVE_ASSOCIATION,QUALIFIED,,production,SHARED_REFERENCE,NOT_PUBLISHED,NOT_ADMINISTRATIVE_OR_LEGAL_BOUNDARY
