relationship_evidence_id,child_place_id,child_source_place_code,parent_place_id,parent_source_place_code,distance_m,parent_footprint_relation,relationship_basis,qualification_status,runtime_effect_scope,legal_containment_asserted
placerel:nngla:ef21e48c1af4393d428919fac77c059a7f51453816869fe22f7f83b74e316388,NG-PLC-000005,NGP-000005,NG-PLC-000001,NGP-000001,3000.020,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:0c3a54592051e65a16495ecef0f2d1379280a55a1e0dd631c8a87c68a668e3cc,NG-PLC-000006,NGP-000006,NG-PLC-000001,NGP-000001,10079.304,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:326c993781a5d988a3afe2287f970a03cc3ba75120ad44c9ea43d99ec3974909,NG-PLC-000007,NGP-000007,NG-PLC-000001,NGP-000001,8208.968,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:b8552fbc24a000001cc5c4cc3819968ccdb90c0f10df20adefecb2e44831ff6e,NG-PLC-000008,NGP-000008,NG-PLC-000001,NGP-000001,5812.980,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:e1570d0d4659e214f6a4f9a0d48ff33fa9a900072cef528030192fb31f9efe2e,NG-PLC-000009,NGP-000009,NG-PLC-000001,NGP-000001,5821.664,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:090cbe54269e7ca98d302aea83b952ada43f1bb46f598cdcc9ae94dceba8a75a,NG-PLC-000010,NGP-000010,NG-PLC-000001,NGP-000001,10477.049,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:5b9f39146c8b27efcb4278090d102a6fc63682c14cadbc36a169ccc085d6b0ba,NG-PLC-000011,NGP-000011,NG-PLC-000001,NGP-000001,6560.437,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:a7fab82d6d07103d65b0ba327b69228fa7378fc3aab117f8ce655785fa1a02b7,NG-PLC-000012,NGP-000012,NG-PLC-000001,NGP-000001,7544.044,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:32526dc2589ceaa178793db660fb264a5add68398f4a093ea703e5852340f38d,NG-PLC-000013,NGP-000013,NG-PLC-000001,NGP-000001,17925.599,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:594edc8981b0ca96a7b8cb50ccac898de25f8a1989d2a4d46faa02511c454ac1,NG-PLC-000014,NGP-000014,NG-PLC-000001,NGP-000001,24531.656,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:f08a5b4c839a1b0661b2358d558255bce564202456ed93d2bbbb8e4816a743bf,NG-PLC-000015,NGP-000015,NG-PLC-000001,NGP-000001,24262.684,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:62d1a69556bda856e876f8421e59c554cac1ad4ab6fc7bf6148d54515f4bb19e,NG-PLC-000016,NGP-000016,NG-PLC-000001,NGP-000001,22483.259,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:306e726171ef095f0289d3fa1a84ab1f582d72cc21722e57cf04b2311f5d2bea,NG-PLC-000017,NGP-000017,NG-PLC-000001,NGP-000001,18317.731,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
placerel:nngla:efa65daaaf21839dade9805828dc9dce8bced6fda76d54341fdeed59bc819b09,NG-PLC-000018,NGP-000018,NG-PLC-000001,NGP-000001,23937.117,WITHIN,SOURCE_PARENT=NGP-000001;SOURCE_HIERARCHY_PRESERVED;TOPOLOGICAL_RELATION_REPORTED_AS_EVIDENCE_NOT_LEGAL_CONTAINMENT,PASS,SHARED_REFERENCE,false
