administrative_area_id,administrative_candidate_id,boundary_candidate_id,administrative_type_code,geometry_type_code,geometry_valid,geometry_nonempty,sovereign_containment,reference_point_containment,parent_containment,sibling_overlap_policy,gap_policy,qualification_status,qualification_reference,runtime_effect_scope
NG-ADM-000001,NG-ADM-CAND-000001,admbnd:nngla:ed95152a3dd6635d0d721428ee4d30fc341c3f706b850e3dd5a71ef12a4c0809,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:96c091e6f7452ac2cbc34c3c3ea72517b66a55071c11b8af2c6e2fc361eea48c,SHARED_REFERENCE
NG-ADM-000002,NG-ADM-CAND-000002,admbnd:nngla:820af4f6a3a6272b3e1d76c83323b099f0597c3b31dec6b2ead56fc7d974e7f6,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:89c421e8d53c2688d04d5518c7e862cd3d12581b34b3b93c5d9d139facced6cd,SHARED_REFERENCE
NG-ADM-000003,NG-ADM-CAND-000003,admbnd:nngla:6d4b2695f214ed83e8921ec3ea9e5a1aae8447f3d50de2205bd72956aaa62f7e,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:0965def1c6de16a14661141628f6c8cabe4e7a3d6cff775adec7a7092df3f2bd,SHARED_REFERENCE
NG-ADM-000004,NG-ADM-CAND-000004,admbnd:nngla:d2a672f0615e55fd5279e874898ece60f8da7034187f964d23b96ad057cd3829,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:d7cf1dde4e302a1666e84d54a6769d735cb51baa3ea62f767aedad40b4889a98,SHARED_REFERENCE
NG-ADM-000005,NG-ADM-CAND-000005,admbnd:nngla:e1fd179cd33c990f4ea40e3e356c95f510617ee2f523594370f9589bd6814525,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:a4199f1b9617fe1208b2e129c62e989bc39f74d7384be93666981fdc534599f3,SHARED_REFERENCE
NG-ADM-000006,NG-ADM-CAND-000006,admbnd:nngla:3c27538a9dd05c061494a6e0777b7dfd47183769943175aa535138614db2a5ff,REGION,POLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:5e225cd2424a193410fb3fa48499b343c63cb0ee93bd4ffb1f5dd0e0e7fe857e,SHARED_REFERENCE
NG-ADM-000007,NG-ADM-CAND-000007,admbnd:nngla:2e18b9aebd99a58752256ad06caad3f2643c928e988fa8518fa7a685be6548ca,REGION,MULTIPOLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:89b7151a1261dd1fe222a9c25e5122bace4e367160bb158e99fcb2df7dc66f66,SHARED_REFERENCE
NG-ADM-000008,NG-ADM-CAND-000008,admbnd:nngla:c5a42b540a63c01299d38e08b949adcff39e87c782ec662df034639be2b87e1d,REGION,MULTIPOLYGON,true,true,PASS,NOT_APPLICABLE_REGION,PASS_SOVEREIGN_PARENT,PASS,PASS,QUALIFIED,qualification:nngla:010837f514303313ecce01415658f8d80a7f587381ed48abe90478674b836d1a,SHARED_REFERENCE
NG-ADM-000009,NG-ADM-CAND-000009,admbnd:nngla:634c7091b38afc0279f510ac1d85859f9ce08d2306d43125c288d3dc79581104,CITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:5f8c56141c4a5e24e1a71cdd5e7d3bd3d1a93a13cd9b991262d8f5bf5be2cbce,SHARED_REFERENCE
NG-ADM-000010,NG-ADM-CAND-000010,admbnd:nngla:f9abc13d70194dba937cb2376201b4c631ee47ac9b0c0cad6ffbe955ddcb5d65,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:a3f945fd346fe5f654d1400698f61fcf5678acb03245094230d68f36087961c8,SHARED_REFERENCE
NG-ADM-000011,NG-ADM-CAND-000011,admbnd:nngla:753143386f8f71b2d1f805bfe8e01d45dc5a61bb82579021a037a90511be088d,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:89d4a01b454fc77cf6ce5032eecc7e1980723d21b48245374bbd98855cced66b,SHARED_REFERENCE
NG-ADM-000012,NG-ADM-CAND-000012,admbnd:nngla:86bf2114d58061cae4218958a4e579b035cc6620f196284bf5aa7dc6e19125a4,MUNICIPALITY,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:44f7668080fd72cddfc8776034301cfe3e7ea8348208e2e9b9bd5fe8bf081ec3,SHARED_REFERENCE
NG-ADM-000013,NG-ADM-CAND-000013,admbnd:nngla:e93b3e11b2a1e2c8302495b4055f56dfed7de80c835e3bb96bc29d238fc004a5,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:130e70f99cef10dc8d6405717af596973453fe1cc7cba76cb77ae67e8b9e98c9,SHARED_REFERENCE
NG-ADM-000014,NG-ADM-CAND-000014,admbnd:nngla:555676ffd4ae71190d7bd56d46116048058f572d4ab4ec750ce15397dacb22b0,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:68a80c0935f651103eb138e7f4a370fb29fe0117428d926546c0c16cb2132a00,SHARED_REFERENCE
NG-ADM-000015,NG-ADM-CAND-000015,admbnd:nngla:77016275f6880cd47bb6ed8837c737c4d94e3af416cb2ef303f97c8510341d16,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:cd00877fb7559fcb0da79d7d8a5634d733b807547832ac65a6d42293e9c8dd66,SHARED_REFERENCE
NG-ADM-000016,NG-ADM-CAND-000016,admbnd:nngla:0cfc2d5a1c225e1e2e1d9f9b9d04eeb42a7a605c092f9defe4507b127f7f98ea,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:5512fe536229d52e961342cbe2251fbcb882a9bcc84ae935573af388a1e19976,SHARED_REFERENCE
NG-ADM-000017,NG-ADM-CAND-000017,admbnd:nngla:8efed618f8e79aa13f1dcd9e31406ace8c953784f4891733a0ae9187d47d58bf,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:08dfd87abc759c429d825961e4200fff3489f3c3c5419088582cc4e51782a036,SHARED_REFERENCE
NG-ADM-000018,NG-ADM-CAND-000018,admbnd:nngla:14399690dd95b14bb454a4df02b85d4ba453b9961b6cabbe1484ff89c14d63f6,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:d1bfcd0deac05d3b2fe77495b5fe1b681f2a82ba6324af2098a3a1c3cec83774,SHARED_REFERENCE
NG-ADM-000019,NG-ADM-CAND-000019,admbnd:nngla:95fd2839e6427ad11fb48428d2788a962e86ec7a7132aac559c3cb980783cb7a,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:007b2c02921fff7ed8fd4ce92027a2542633029332729ac1ff6e88e894375a9d,SHARED_REFERENCE
NG-ADM-000020,NG-ADM-CAND-000020,admbnd:nngla:1766de77ba5bc26998aebcbc46add8900863dfcb1bc5438c971664afd1bdab79,CITY_DISTRICT,POLYGON,true,true,PASS,PASS,PASS,PASS,PASS,QUALIFIED,qualification:nngla:a201dc6c92fcad69a8ddbe3888435ecd676263ed643b3b6f37f8ee599c75d60e,SHARED_REFERENCE
