legalization_decision_id,administrative_area_id,administrative_candidate_id,boundary_candidate_id,qualification_reference,approval_reference,legal_instrument_reference,effective_from,previous_boundary_status,resulting_boundary_status,previous_lifecycle_status,resulting_lifecycle_status,decision_status,runtime_effect_scope
admlegal:nngla:1fe64f638e972f06c2a6d4bef6d33182b4d4f07bc87af497129f52f8a65661ed,NG-ADM-000001,NG-ADM-CAND-000001,admbnd:nngla:ed95152a3dd6635d0d721428ee4d30fc341c3f706b850e3dd5a71ef12a4c0809,qualification:nngla:96c091e6f7452ac2cbc34c3c3ea72517b66a55071c11b8af2c6e2fc361eea48c,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:b7f6880dd097601083f69f1460591ad6356e01d99d42b365963362af29811781,NG-ADM-000002,NG-ADM-CAND-000002,admbnd:nngla:820af4f6a3a6272b3e1d76c83323b099f0597c3b31dec6b2ead56fc7d974e7f6,qualification:nngla:89c421e8d53c2688d04d5518c7e862cd3d12581b34b3b93c5d9d139facced6cd,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:6b9cca8b794c0326b482f5cf7216d85c96fb9832b0db76b3373b53f947367db8,NG-ADM-000003,NG-ADM-CAND-000003,admbnd:nngla:6d4b2695f214ed83e8921ec3ea9e5a1aae8447f3d50de2205bd72956aaa62f7e,qualification:nngla:0965def1c6de16a14661141628f6c8cabe4e7a3d6cff775adec7a7092df3f2bd,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:3721a9305b8f4b95226054d07d8361a8d3288b92163932e87bda0ad198219707,NG-ADM-000004,NG-ADM-CAND-000004,admbnd:nngla:d2a672f0615e55fd5279e874898ece60f8da7034187f964d23b96ad057cd3829,qualification:nngla:d7cf1dde4e302a1666e84d54a6769d735cb51baa3ea62f767aedad40b4889a98,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:9d69c113f893623e1f0516775e65277770f870cb2a5f8dd1ea68b2f303292f73,NG-ADM-000005,NG-ADM-CAND-000005,admbnd:nngla:e1fd179cd33c990f4ea40e3e356c95f510617ee2f523594370f9589bd6814525,qualification:nngla:a4199f1b9617fe1208b2e129c62e989bc39f74d7384be93666981fdc534599f3,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:bd5a9e1e5522047ae85d50e79141ab963b023598335fa4a9c97bc8f86a03b361,NG-ADM-000006,NG-ADM-CAND-000006,admbnd:nngla:3c27538a9dd05c061494a6e0777b7dfd47183769943175aa535138614db2a5ff,qualification:nngla:5e225cd2424a193410fb3fa48499b343c63cb0ee93bd4ffb1f5dd0e0e7fe857e,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:e87ea85134e1f2bf98a651eeff28305837bdf14003ad2b1cadc22053252f8d13,NG-ADM-000007,NG-ADM-CAND-000007,admbnd:nngla:2e18b9aebd99a58752256ad06caad3f2643c928e988fa8518fa7a685be6548ca,qualification:nngla:89b7151a1261dd1fe222a9c25e5122bace4e367160bb158e99fcb2df7dc66f66,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:a317f50bdccfb9c126db153540a2e31d030bab0283b616db05c0d6690ca5e18c,NG-ADM-000008,NG-ADM-CAND-000008,admbnd:nngla:c5a42b540a63c01299d38e08b949adcff39e87c782ec662df034639be2b87e1d,qualification:nngla:010837f514303313ecce01415658f8d80a7f587381ed48abe90478674b836d1a,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:29d6530bccb438e47805b8e2b6e6db8480f35f174881c1454c059057a73015ce,NG-ADM-000009,NG-ADM-CAND-000009,admbnd:nngla:634c7091b38afc0279f510ac1d85859f9ce08d2306d43125c288d3dc79581104,qualification:nngla:5f8c56141c4a5e24e1a71cdd5e7d3bd3d1a93a13cd9b991262d8f5bf5be2cbce,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:6a0354a4d833ff7e42c917c6889e2e898bb237b7b5bd353258165e451618609e,NG-ADM-000010,NG-ADM-CAND-000010,admbnd:nngla:f9abc13d70194dba937cb2376201b4c631ee47ac9b0c0cad6ffbe955ddcb5d65,qualification:nngla:a3f945fd346fe5f654d1400698f61fcf5678acb03245094230d68f36087961c8,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:00c2696c1491695c617d45776e06e9cf2c5fda18bcf97314230e8889bfbbaa56,NG-ADM-000011,NG-ADM-CAND-000011,admbnd:nngla:753143386f8f71b2d1f805bfe8e01d45dc5a61bb82579021a037a90511be088d,qualification:nngla:89d4a01b454fc77cf6ce5032eecc7e1980723d21b48245374bbd98855cced66b,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:a48a8d5217839151c5249009b6b8096b41e31ea3c273aa8f30163efd880a35ec,NG-ADM-000012,NG-ADM-CAND-000012,admbnd:nngla:86bf2114d58061cae4218958a4e579b035cc6620f196284bf5aa7dc6e19125a4,qualification:nngla:44f7668080fd72cddfc8776034301cfe3e7ea8348208e2e9b9bd5fe8bf081ec3,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
admlegal:nngla:38b6be5616d37ed8e2fb4f857a90117903b8e66f1319a67771192be6fe0661a6,NG-ADM-000013,NG-ADM-CAND-000013,admbnd:nngla:e93b3e11b2a1e2c8302495b4055f56dfed7de80c835e3bb96bc29d238fc004a5,qualification:nngla:130e70f99cef10dc8d6405717af596973453fe1cc7cba76cb77ae67e8b9e98c9,P006.7.11.11_PHASE_B_E_GREENLIGHT,NEXILABS_SIMULATION_NNGLA_INITIAL_BOUNDARY_LEGALIZATION_V001,2026-08-22,BOUNDARY_PENDING_LEGALIZATION,LEGALIZED,PROVISIONAL,ACTIVE,APPROVED_FOR_GOVERNED_LIVE_APPLICATION,SHARED_REFERENCE
