road_id,road_candidate_id,region_code,start_place_id,end_place_id,authoring_method,plan_status
NG-RD-000001,NG-RD-CAND-000001,NGR-01,NG-PLC-000082,NG-PLC-000034,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000002,NG-RD-CAND-000002,NGR-01,NG-PLC-000024,NG-PLC-000010,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000003,NG-RD-CAND-000003,NGR-01,NG-PLC-000007,NG-PLC-000009,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000004,NG-RD-CAND-000004,NGR-01,NG-PLC-000005,NG-PLC-000001,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000005,NG-RD-CAND-000005,NGR-01,NG-PLC-000081,NG-PLC-000059,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000006,NG-RD-CAND-000006,NGR-01,NG-PLC-000016,NG-PLC-000021,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000007,NG-RD-CAND-000007,NGR-01,NG-PLC-000082,NG-PLC-000067,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000008,NG-RD-CAND-000008,NGR-01,NG-PLC-000031,NG-PLC-000059,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000009,NG-RD-CAND-000009,NGR-01,NG-PLC-000034,NG-PLC-000067,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
NG-RD-000010,NG-RD-CAND-000010,NGR-01,NG-PLC-000027,NG-PLC-000049,FROZEN_VALIDATED_PLANAR_ENDPOINT_SELECTION_V1,QUALIFIED_SIMULATION_AUTHORING_PLAN
