road_id,road_class_code,region_code,geometry_status,topology_status,length_status,overall_status
NG-RD-000001,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000002,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000003,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000004,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000005,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000006,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000007,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000008,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000009,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000010,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000011,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000012,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000013,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000014,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000015,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000016,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000017,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000018,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000019,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000020,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000021,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000022,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000023,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000024,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000025,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000026,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000027,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000028,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000029,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000030,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000031,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000032,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000033,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000034,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000035,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000036,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000037,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000038,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000039,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000040,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000041,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000042,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000043,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000044,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000045,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000046,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000047,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000048,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000049,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000050,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000051,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000052,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000053,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000054,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000055,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000056,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000057,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000058,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000059,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000060,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000061,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000062,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000063,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000064,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000065,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000066,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000067,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000068,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000069,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000070,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000071,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000072,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000073,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000074,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000075,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000076,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000077,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000078,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000079,MUNICIPAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000080,DISTRICT,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000081,REGIONAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000082,RURAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000083,ACCESS,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000084,SERVICE,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000085,LOCAL,NGR-01,PASS,PASS,PASS,PASS
NG-RD-000086,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000087,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000088,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000089,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000090,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000091,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000092,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000093,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000094,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000095,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000096,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000097,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000098,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000099,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000100,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000101,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000102,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000103,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000104,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000105,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000106,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000107,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000108,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000109,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000110,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000111,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000112,SERVICE,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000113,LOCAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000114,MUNICIPAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000115,DISTRICT,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000116,REGIONAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000117,RURAL,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000118,ACCESS,NGR-02,PASS,PASS,PASS,PASS
NG-RD-000119,SERVICE,NGR-02,PASS,PASS,PASS,PASS
