node_id,longitude,latitude,place_id,region_code,node_role,runtime_effect_scope
roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,36.400000000,0.892533000,NG-PLC-000001,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:6d8b36f2e363740c0372bd38b381aa21401d87b69e265b1655bcc73896b95708,36.662684000,1.200426000,NG-PLC-000002,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:1916866053a8a4b6c91ccfc15b4f3bb43d043accfb3093400f54ca435da9bce2,36.878985000,0.722731000,NG-PLC-000003,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:106c2e51990fe7a34bae74b2f98d83e70702acc5cf3f969f300e07e9f1fad11a,35.780712000,1.058572000,NG-PLC-000004,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:6895ab874b13b242781b53236f9f95030f6707b44b079c52f7367c2e7b0a29a8,36.373039000,0.893624000,NG-PLC-000005,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:618fabae0715441d721aebba09508077b76fa7ecff37f4eaef9d8710a802166d,36.409173000,0.802353000,NG-PLC-000006,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,36.330811000,0.918305000,NG-PLC-000007,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:983bcce4b7263c4a96b0d85f6c73a7527dd287ee07d3efc8f82482822a5cb5f8,36.414137000,0.842203000,NG-PLC-000008,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:79c219445bdcc93baa841cef0bc6e48235be6ae7d5987fd2d1be986cfe39dfde,36.355529000,0.920172000,NG-PLC-000009,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:3933780ed62dc3b8d8f34a67f843750e5488aee8ed79ca9bb8390ad1d49388d1,36.336781000,0.962406000,NG-PLC-000010,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:50a6585d2c95eaf0240e99ac6bb07e328ca5c98600282ad587a85fd502f02a09,36.352255000,0.857865000,NG-PLC-000011,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:1e77227a4137315809d3841ee7cacb96bf2287939d68bf06371529ba77a5ab45,36.542436000,0.968068000,NG-PLC-000013,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:1410c3ecec4a530acbc9f628464c0e7eaf11c03037a3cc296164b479e05be9f0,36.618704000,0.921738000,NG-PLC-000014,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:abd06fb6ad3c4e3c661058c55cf6782ffa420d6da9d1de2ab3b7f4b3967d915e,36.417960000,0.675074000,NG-PLC-000015,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:9a0797780a0b6cb67143d5be7156642334cbef000f3f9b47822bff7f0f8feba4,36.239219000,1.015171000,NG-PLC-000016,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:7f45893bf3894f8331e939fb563ab7ded7cdd26dc055399de7f5816ebcc0da50,36.314711000,1.033478000,NG-PLC-000017,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:4bb200c56329defd70c85f84b32e94c4a671c6802c3ad974972df149cf553638,36.462935000,0.818751000,NG-PLC-000019,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:07b2898987e6ae7fe36e20c66d14ebd15fd43192add5945f1220f40a63cc64c7,36.382916000,0.804238000,NG-PLC-000020,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:46188d76713b7b9ac8733fa729d7a3e667ff4d837e7fcd03773efc6aacc1f247,36.271395000,0.991270000,NG-PLC-000021,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:a65eddbcc1a6a4aab0600d2b45d77f84beef9bd2235e31c7fe5a6bdcc85609b2,36.183345000,0.881551000,NG-PLC-000022,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:40c8bbdbed6d0d8a6419dd69a93f078416fa013da0228001bd3584961443b769,36.466409000,0.953186000,NG-PLC-000023,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:f9ac9e722e18902de17ef0a229e3c2273659a93076d60aad12189feebb2731f8,36.325117000,0.942349000,NG-PLC-000024,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:2e0b170c3ba83ba2ce87b9cf66d039ea9ddacc2fdf745f1c4aff3d0f1d4abd80,36.777472000,1.432012000,NG-PLC-000026,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:55533ab41575be56f1da3c0f61625f098cc84056ea46e89e859dc9a89c8864d6,36.482614000,1.380115000,NG-PLC-000027,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:6c413e14071a2534e467045de7b45bd7b14140fb598b087cdb8c7fc521c315b7,36.728377000,0.914862000,NG-PLC-000028,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:c65c46749d37b898e2f00a8dc4264572a721e96081c0b76d7acac647aac17a9f,36.887025000,1.215980000,NG-PLC-000029,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:521a3d09949d74cad2ca16391d8fdd0fe61b3ef3de4ef5e91b34195baaebbe3d,37.127120000,0.832912000,NG-PLC-000030,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:54182ab34b0f872c9443fccf0510f39d3552e8126a6660a59ccc2cd3cae69e0f,37.072459000,0.980246000,NG-PLC-000031,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:4cbc7b579752dfa021717d1417e3fd54aaa78a3cd14d8a839cc5498f6fe5fa73,36.663723000,0.787683000,NG-PLC-000032,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:860b767853192d8b6b8b2d474993e99b1bcbe383be55e0c2521755d7c864566f,37.084969000,0.549084000,NG-PLC-000033,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:244f6b9817e5c2146a77910a2f792009d7df10dd6fdc9cd0e4c9d59f0030ed12,36.737769000,0.351149000,NG-PLC-000034,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:b9a888f396a9ae0d76c25f9afd8e549f1334a3c4216a5a9cc4b8328c77b64951,35.722439000,0.809775000,NG-PLC-000035,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:bdbd5671d10683e0bc976d52fba95157a2e4278c7106eed301dd8ce2a07625d7,36.013309000,1.348499000,NG-PLC-000036,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:6bba7c1be284afb55d7423e42edb6e006e2252dea5580aec0358652fb5e29a0b,35.723873000,1.364469000,NG-PLC-000038,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:6d78f3078d0ce6c21fefe2dc048792f3617ba8ab1e68f0820f692d3af96a4c39,36.023197000,0.920005000,NG-PLC-000039,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:1f80dbdc45f869fab8e2d2a536183d012803cc777f72a75f217cb47fd4b5b40a,36.642861000,1.312132000,NG-PLC-000040,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:aa9f999b1623465000be7a346a0dda0672d946cb4d4b4ceeaad35b6bea19ac39,36.780371000,1.280079000,NG-PLC-000041,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:26460b6ce6170955fbf8b9237ea9f28c594c8333c8572f7d528c9d4b08eb888d,36.940130000,0.937791000,NG-PLC-000043,NGR-01,ENDPOINT,SHARED_REFERENCE
roadnode:nngla:e15cb02064fcabb33daa0c209759322f2f670f34ed0a97aaf040325064580fe7,36.955010000,0.628082000,NG-PLC-000044,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:d48a00e45ecd9397d58dc285733f40c6568517d98f029900f3d9d18f49ee6c37,36.777699000,0.685462000,NG-PLC-000045,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:1bd35eb0fc850f581527abf1b621f46f97b1e204bd969e75e2c74c9747daf3bc,35.664816000,1.122528000,NG-PLC-000046,NGR-01,JUNCTION,SHARED_REFERENCE
roadnode:nngla:fc042d812170925ed0402faa6d8126aa0671aa4a88b5d021201cedcf3a00bb2d,35.533871000,1.075022000,NG-PLC-000047,NGR-01,JUNCTION,SHARED_REFERENCE
