road_segment_id,road_id,source_road_candidate_id,segment_sequence,segment_role,start_node_id,end_node_id,length_m,geometry_reservation_key,geometry_id,geometry_status,addressing_scope_eligible,runtime_effect_scope
roadseg:nngla:37bfd0b27ea66c8e06a6f20d1e703625711933174f00201b8dfc44959e06c2ac,NG-RD-000001,NG-RD-CAND-000001,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:63411b3b7f013ac49e6c321c3d395e966a068eacaebce944b8cf331ae48b7095,roadnode:nngla:244f6b9817e5c2146a77910a2f792009d7df10dd6fdc9cd0e4c9d59f0030ed12,2000.026,p006.7.11.12:road-alignment:NG-RD-000001,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:eb42b52261f4594b287f1d54a7c3cb07af307af139c3d7c615b80be77cf62339,NG-RD-000002,NG-RD-CAND-000002,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:f9ac9e722e18902de17ef0a229e3c2273659a93076d60aad12189feebb2731f8,roadnode:nngla:3933780ed62dc3b8d8f34a67f843750e5488aee8ed79ca9bb8390ad1d49388d1,2579.857,p006.7.11.12:road-alignment:NG-RD-000002,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:ccb70cbcbddfab085119c8c7e36f0e302a70896cb17a352f9bb18d459c024881,NG-RD-000003,NG-RD-CAND-000003,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadnode:nngla:79c219445bdcc93baa841cef0bc6e48235be6ae7d5987fd2d1be986cfe39dfde,2755.996,p006.7.11.12:road-alignment:NG-RD-000003,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:efbc83ac67efed5dce1d9263ff00185f5f6c5f27d3482d49abebf5ff78549ebb,NG-RD-000004,NG-RD-CAND-000004,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:6895ab874b13b242781b53236f9f95030f6707b44b079c52f7367c2e7b0a29a8,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,3000.020,p006.7.11.12:road-alignment:NG-RD-000004,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:d19279cf806d0dd35f8c3f3a6cd1674d58ac0fb4b233b134560c7798d1562a82,NG-RD-000005,NG-RD-CAND-000005,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:3cc1d3170dd55dd5835e877427c34e2649574ccbf7fcc78093f898016f56b54f,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,3650.100,p006.7.11.12:road-alignment:NG-RD-000005,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:a9b70e8cb374c1e54aedc7544dd3911993db4ea7de9fb414d8145493e6ff347d,NG-RD-000006,NG-RD-CAND-000006,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:9a0797780a0b6cb67143d5be7156642334cbef000f3f9b47822bff7f0f8feba4,roadnode:nngla:46188d76713b7b9ac8733fa729d7a3e667ff4d837e7fcd03773efc6aacc1f247,4456.462,p006.7.11.12:road-alignment:NG-RD-000006,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:ad9214cca424a8bc83bbb4f90a8bf59659c709bce830dfde1d7b72eaedfeb321,NG-RD-000007,NG-RD-CAND-000007,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:63411b3b7f013ac49e6c321c3d395e966a068eacaebce944b8cf331ae48b7095,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,4630.773,p006.7.11.12:road-alignment:NG-RD-000007,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:fa0b5b24ef1f387df35b5f7c0e4b00d0896295b4128153d6a6e9fb86d8ab3748,NG-RD-000008,NG-RD-CAND-000008,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:54182ab34b0f872c9443fccf0510f39d3552e8126a6660a59ccc2cd3cae69e0f,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,4739.498,p006.7.11.12:road-alignment:NG-RD-000008,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:871209a57f2e42b0214283059885731c1dcacc42abf9b05cbfe2c8ad8370ef79,NG-RD-000009,NG-RD-CAND-000009,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:244f6b9817e5c2146a77910a2f792009d7df10dd6fdc9cd0e4c9d59f0030ed12,roadnode:nngla:bf37a0d8f50fa6c64a6c852b21a4e2e2eb1d2162bf25a3de03501a97c3d69b4e,5000.023,p006.7.11.12:road-alignment:NG-RD-000009,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
roadseg:nngla:0601c3b9582fdb1fe07785d175992f8878d806885193ae1b58cb9a391e276b5e,NG-RD-000010,NG-RD-CAND-000010,1,WHOLE_AUTHORED_ROAD_EDGE,roadnode:nngla:55533ab41575be56f1da3c0f61625f098cc84056ea46e89e859dc9a89c8864d6,roadnode:nngla:c6675a5b0f82c9187b752d1e15a87acb66a2afe06684f30fd3946d61a98d736d,5080.076,p006.7.11.12:road-alignment:NG-RD-000010,,QUALIFIED_PENDING_LIVE_ASSOCIATION,true,SHARED_REFERENCE
