assignment_candidate_id,subject_type,subject_id,geometry_role_code,geometry_reservation_key,geometry_id,assignment_status,effective_from,runtime_mode,runtime_effect_scope,publication_status
spatialassign:nngla:15e6e07912c9bb1e3223f321a6632a2088f582987b8206d8eb922872a6db7f60,ROAD,NG-RD-000001,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000001,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:65972f0faf78b56ade650d395329c6df183ecfd061ff1cf085666c9aab9e9883,ROAD,NG-RD-000002,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000002,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:023980a2aac3c1bd27a1249dabba23a58f86f13d1c3e09ce22dfad77ff14b4a3,ROAD,NG-RD-000003,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000003,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:5fee7e45287fa834d81c5b4ebb2c3b1f116fa07a9c932ece3d5c078795122dcc,ROAD,NG-RD-000004,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000004,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:7aa65424c135c86091c6a00e31a97c645559fe84c6cfd94401bea8114e534494,ROAD,NG-RD-000005,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000005,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:b8fb23a351e1654ac4ed4ec8e17595c75a5076b22533cfc802b65f6b26155018,ROAD,NG-RD-000006,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000006,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:e6649abe35953041df6e8d57598568268d573710f24d2cea23aa92a09860e150,ROAD,NG-RD-000007,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000007,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:3d7a52bd9d61e3fdaa2643c7b42126ad61f32e01e98c63401f7739c93126646a,ROAD,NG-RD-000008,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000008,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:684176a4f342db294574eec5b422abb46062664cfad3bf392e13c8336a4b7d5e,ROAD,NG-RD-000009,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000009,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:e76aaebac0efefc47b94520613d5ba9cf40940ab822fe1a4a10d5f58f2c24c42,ROAD,NG-RD-000010,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000010,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:6425a7d6da5f4826d8e6c0b13579525f2ca2f7712565ccacca596b4b7e790142,ROAD,NG-RD-000011,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000011,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:3d7dd57ee83809e405ec1820d13a5f370caf8686b087effeb62d9449c6d7f011,ROAD,NG-RD-000012,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000012,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:17d6a0b9abc55c0796a5eebc6122b8757ba2ad14f53f29de733f0fcb9a7bad6e,ROAD,NG-RD-000013,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000013,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:0a3f8032edc0d202b4f7901e31dcdb5827a21c3ff8f919fe93fce2ac51bed160,ROAD,NG-RD-000014,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000014,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:7172ac25668a670ff4e131de5fbb83e7e2df92baf1deb4e7ee08e62bc69d6061,ROAD,NG-RD-000015,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000015,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:2cc217122ed82f576008dfdd840eb496d2cdd37c1ebca534341d7cb7aa1dce0f,ROAD,NG-RD-000016,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000016,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:0ed0666f53b140fa622d5793b9e96320805dc734a2b0bb64eb096839556e51d3,ROAD,NG-RD-000017,ROAD_ALIGNMENT,p006.7.11.12:road-alignment:NG-RD-000017,,QUALIFIED_PENDING_LIVE_ASSOCIATION,2026-08-23,production,SHARED_REFERENCE,NOT_PUBLISHED
