connection_id,node_id,road_segment_id,road_id,endpoint_role,runtime_effect_scope
roadconn:nngla:09bdd5dc88222a753aaae9a1272e618226304a251e7e73c0f31315634da73ffd,roadnode:nngla:63411b3b7f013ac49e6c321c3d395e966a068eacaebce944b8cf331ae48b7095,roadseg:nngla:37bfd0b27ea66c8e06a6f20d1e703625711933174f00201b8dfc44959e06c2ac,NG-RD-000001,START,SHARED_REFERENCE
roadconn:nngla:9c87679026d07fec49e362ea988c8539d0a04ac3453375e65a568d03844ec385,roadnode:nngla:244f6b9817e5c2146a77910a2f792009d7df10dd6fdc9cd0e4c9d59f0030ed12,roadseg:nngla:37bfd0b27ea66c8e06a6f20d1e703625711933174f00201b8dfc44959e06c2ac,NG-RD-000001,END,SHARED_REFERENCE
roadconn:nngla:c73939df219407dbfdd1b3748f5a8828fb5c625dd60c1d7a706f938bdf7f4dc8,roadnode:nngla:f9ac9e722e18902de17ef0a229e3c2273659a93076d60aad12189feebb2731f8,roadseg:nngla:eb42b52261f4594b287f1d54a7c3cb07af307af139c3d7c615b80be77cf62339,NG-RD-000002,START,SHARED_REFERENCE
roadconn:nngla:ac0534fd5fae6f2594ea00b56cf5442a15bc920925a1c66ae00ff0a315965368,roadnode:nngla:3933780ed62dc3b8d8f34a67f843750e5488aee8ed79ca9bb8390ad1d49388d1,roadseg:nngla:eb42b52261f4594b287f1d54a7c3cb07af307af139c3d7c615b80be77cf62339,NG-RD-000002,END,SHARED_REFERENCE
roadconn:nngla:b64051517f216c380559d2d07b4f2f08745d0d62d2e59730e890b0b5212e2d1b,roadnode:nngla:7da10fa7002501d81a99d5e41be2bef1d19838242789e281abde00c704f87caa,roadseg:nngla:ccb70cbcbddfab085119c8c7e36f0e302a70896cb17a352f9bb18d459c024881,NG-RD-000003,START,SHARED_REFERENCE
roadconn:nngla:0e3920fa1a61a085013cf5db68759a6506e8ec9c67981f61f60cbc2449914d92,roadnode:nngla:79c219445bdcc93baa841cef0bc6e48235be6ae7d5987fd2d1be986cfe39dfde,roadseg:nngla:ccb70cbcbddfab085119c8c7e36f0e302a70896cb17a352f9bb18d459c024881,NG-RD-000003,END,SHARED_REFERENCE
roadconn:nngla:0e05205e63a9904cde21e13050f626583e97f1b9daa5471940a65b7e083311f1,roadnode:nngla:6895ab874b13b242781b53236f9f95030f6707b44b079c52f7367c2e7b0a29a8,roadseg:nngla:efbc83ac67efed5dce1d9263ff00185f5f6c5f27d3482d49abebf5ff78549ebb,NG-RD-000004,START,SHARED_REFERENCE
roadconn:nngla:c64ccf312523d10e0826753aa4bb8b7aad932be4e6eae33c9107d21fd5bbd2ee,roadnode:nngla:ce634005b6fa4d8aebf5093eb16ab7fab85c691ca1d9633fc2271687997e03f7,roadseg:nngla:efbc83ac67efed5dce1d9263ff00185f5f6c5f27d3482d49abebf5ff78549ebb,NG-RD-000004,END,SHARED_REFERENCE
roadconn:nngla:9d2423520db3e7b850a4581a14f7835b5f27cd67751c93715b1553eac104564a,roadnode:nngla:3cc1d3170dd55dd5835e877427c34e2649574ccbf7fcc78093f898016f56b54f,roadseg:nngla:d19279cf806d0dd35f8c3f3a6cd1674d58ac0fb4b233b134560c7798d1562a82,NG-RD-000005,START,SHARED_REFERENCE
roadconn:nngla:f0d0a830d44a31e56be1752d4beb022b8d653846a0418a0fe7095f820e71b891,roadnode:nngla:8b9beac59f125db9e7cd2d2828ec67c0f2a49a6b99d9fa416867f4171b3ee513,roadseg:nngla:d19279cf806d0dd35f8c3f3a6cd1674d58ac0fb4b233b134560c7798d1562a82,NG-RD-000005,END,SHARED_REFERENCE
