relationship_id,road_id,relationship_type,object_id,evidence_basis,longitude,latitude,runtime_effect_scope
roadrel:nngla:0088953e335d20b6b63ce6634f8f104c2bfb9f8218e4f4f281e1155faf7e0277,NG-RD-000302,STARTS_AT_PLACE,NG-PLC-000288,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.512239000,5.425656000,SHARED_REFERENCE
roadrel:nngla:00e655747f0ee03c9b57dda2862e0691e660adc8948f0fee0e7e5f367dbd66a2,NG-RD-000242,WITHIN_ADMIN_REGION,NGR-03,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:00f78549be8423c57167fb6b5b1403d8c75731f7e90534ec1c03fa26b571208d,NG-RD-000350,STARTS_AT_PLACE,NG-PLC-000413,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.460838000,-1.105203000,SHARED_REFERENCE
roadrel:nngla:01a4ba4168d0dc73c499f12d4b37d05c3f5221ac720304373ac069cc112771fb,NG-RD-000083,STARTS_AT_PLACE,NG-PLC-000015,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.417960000,0.675074000,SHARED_REFERENCE
roadrel:nngla:020d8f1d163d1e0540dfc14c320096cf16f7bf13514a730d3c2cf85b039ac364,NG-RD-000043,STARTS_AT_PLACE,NG-PLC-000055,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,36.711602000,1.043828000,SHARED_REFERENCE
roadrel:nngla:023d11c22c6d0884830b9dbf3af9722c4be3e34789621ebe416aa9613b4f4bb7,NG-RD-000270,STARTS_AT_PLACE,NG-PLC-000274,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.196169000,5.279672000,SHARED_REFERENCE
roadrel:nngla:02ab97450b7ed4d321daf80797cec56089c8ea6ca6e1bc9c3f6c71ecb9610f29,NG-RD-000038,STARTS_AT_PLACE,NG-PLC-000059,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.094774000,0.943929000,SHARED_REFERENCE
roadrel:nngla:02f15a9d3a61ab3d2ec91239a9cbaa103d7f4653fa78bf2333f28540bfcadfdb,NG-RD-000273,ENDS_AT_PLACE,NG-PLC-000272,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,38.203414000,5.209631000,SHARED_REFERENCE
roadrel:nngla:032d3cc7ba6ea3539f2707b2f9b4030fa3be4feec155f46a5ee276e97f07597a,NG-RD-000279,WITHIN_ADMIN_REGION,NGR-04,BUNDLE19B_REGION_CONTAINMENT,,,SHARED_REFERENCE
roadrel:nngla:0399a2e2d3c5732a44f4e9765087c23612fb047aedf637585014ad7fb82429f3,NG-RD-000200,ENDS_AT_PLACE,NG-PLC-000206,BUNDLE19A_PLACE_REFERENCE_ENDPOINT,37.454301000,-3.245980000,SHARED_REFERENCE
