feature_id,physical_subject_id,name_id,identity_separation,existing_geometry_lineage,name_status,overall_status
NG-FEAT-000002,river:novegeo:r000001,NG-NAM-RIV-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000003,river:novegeo:r000002,NG-NAM-RIV-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000004,river:novegeo:r000003,NG-NAM-RIV-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000005,river:novegeo:r000004,NG-NAM-RIV-000004,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000006,river:novegeo:r000005,NG-NAM-RIV-000005,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000007,lake:novegeo:l000001,NG-NAM-LAK-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000008,lake:novegeo:l000002,NG-NAM-LAK-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000009,lake:novegeo:l000003,NG-NAM-LAK-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000010,landform:novegeo:mountain:001,NG-NAM-MOU-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000011,landform:novegeo:mountain:002,NG-NAM-MOU-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000012,landform:novegeo:mountain:003,NG-NAM-MOU-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000013,landform:novegeo:valley:001,NG-NAM-VAL-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000014,landform:novegeo:valley:002,NG-NAM-VAL-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000015,landform:novegeo:valley:003,NG-NAM-VAL-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000016,landform:novegeo:plain:001,NG-NAM-PLN-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000017,landform:novegeo:plain:002,NG-NAM-PLN-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000018,landform:novegeo:plain:003,NG-NAM-PLN-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000019,landform:novegeo:plateau:001,NG-NAM-PLT-000001,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000020,landform:novegeo:plateau:002,NG-NAM-PLT-000002,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
NG-FEAT-000021,landform:novegeo:plateau:003,NG-NAM-PLT-000003,PASS,PRESERVED,PROPOSED_UNGAZETTED,PASS
