name_id,feature_id,physical_subject_id,canonical_name,name_family,naming_status_code,record_status,runtime_effect_scope,gazette_reference
NG-NAM-RIV-000001,NG-FEAT-000002,river:novegeo:r000001,Bellwether River,RIVER,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-RIV-000002,NG-FEAT-000003,river:novegeo:r000002,New Carrow Stream,RIVER,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-RIV-000003,NG-FEAT-000004,river:novegeo:r000003,East Meridian Water,RIVER,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-RIV-000004,NG-FEAT-000005,river:novegeo:r000004,Ashbourne Run,RIVER,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-RIV-000005,NG-FEAT-000006,river:novegeo:r000005,Elmtree River,RIVER,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-LAK-000001,NG-FEAT-000007,lake:novegeo:l000001,Bellwether Lake,LAKE,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-LAK-000002,NG-FEAT-000008,lake:novegeo:l000002,New Carrow Mere,LAKE,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-LAK-000003,NG-FEAT-000009,lake:novegeo:l000003,East Meridian Waters,LAKE,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-MOU-000001,NG-FEAT-000010,landform:novegeo:mountain:001,Bellwether Mountain,MOUNTAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-MOU-000002,NG-FEAT-000011,landform:novegeo:mountain:002,New Carrow Peak,MOUNTAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-MOU-000003,NG-FEAT-000012,landform:novegeo:mountain:003,East Meridian Mount,MOUNTAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-VAL-000001,NG-FEAT-000013,landform:novegeo:valley:001,Bellwether Valley,VALLEY,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-VAL-000002,NG-FEAT-000014,landform:novegeo:valley:002,New Carrow Vale,VALLEY,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-VAL-000003,NG-FEAT-000015,landform:novegeo:valley:003,East Meridian Hollow,VALLEY,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLN-000001,NG-FEAT-000016,landform:novegeo:plain:001,Bellwether Plain,PLAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLN-000002,NG-FEAT-000017,landform:novegeo:plain:002,New Carrow Flats,PLAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLN-000003,NG-FEAT-000018,landform:novegeo:plain:003,East Meridian Fields,PLAIN,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLT-000001,NG-FEAT-000019,landform:novegeo:plateau:001,Bellwether Plateau,PLATEAU,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLT-000002,NG-FEAT-000020,landform:novegeo:plateau:002,New Carrow Tableland,PLATEAU,PROPOSED,ACTIVE,SHARED_REFERENCE,
NG-NAM-PLT-000003,NG-FEAT-000021,landform:novegeo:plateau:003,East Meridian Uplands,PLATEAU,PROPOSED,ACTIVE,SHARED_REFERENCE,
