assignment_candidate_id,feature_id,physical_subject_id,name_id,canonical_name,assignment_role,assignment_status,official_effect,runtime_effect_scope
NG-NAME-ASN-000001,NG-FEAT-000002,river:novegeo:r000001,NG-NAM-RIV-000001,Bellwether River,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000002,NG-FEAT-000003,river:novegeo:r000002,NG-NAM-RIV-000002,New Carrow Stream,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000003,NG-FEAT-000004,river:novegeo:r000003,NG-NAM-RIV-000003,East Meridian Water,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000004,NG-FEAT-000005,river:novegeo:r000004,NG-NAM-RIV-000004,Ashbourne Run,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000005,NG-FEAT-000006,river:novegeo:r000005,NG-NAM-RIV-000005,Elmtree River,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000006,NG-FEAT-000007,lake:novegeo:l000001,NG-NAM-LAK-000001,Bellwether Lake,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000007,NG-FEAT-000008,lake:novegeo:l000002,NG-NAM-LAK-000002,New Carrow Mere,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000008,NG-FEAT-000009,lake:novegeo:l000003,NG-NAM-LAK-000003,East Meridian Waters,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000009,NG-FEAT-000010,landform:novegeo:mountain:001,NG-NAM-MOU-000001,Bellwether Mountain,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000010,NG-FEAT-000011,landform:novegeo:mountain:002,NG-NAM-MOU-000002,New Carrow Peak,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000011,NG-FEAT-000012,landform:novegeo:mountain:003,NG-NAM-MOU-000003,East Meridian Mount,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000012,NG-FEAT-000013,landform:novegeo:valley:001,NG-NAM-VAL-000001,Bellwether Valley,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000013,NG-FEAT-000014,landform:novegeo:valley:002,NG-NAM-VAL-000002,New Carrow Vale,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000014,NG-FEAT-000015,landform:novegeo:valley:003,NG-NAM-VAL-000003,East Meridian Hollow,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000015,NG-FEAT-000016,landform:novegeo:plain:001,NG-NAM-PLN-000001,Bellwether Plain,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000016,NG-FEAT-000017,landform:novegeo:plain:002,NG-NAM-PLN-000002,New Carrow Flats,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000017,NG-FEAT-000018,landform:novegeo:plain:003,NG-NAM-PLN-000003,East Meridian Fields,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000018,NG-FEAT-000019,landform:novegeo:plateau:001,NG-NAM-PLT-000001,Bellwether Plateau,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000019,NG-FEAT-000020,landform:novegeo:plateau:002,NG-NAM-PLT-000002,New Carrow Tableland,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
NG-NAME-ASN-000020,NG-FEAT-000021,landform:novegeo:plateau:003,NG-NAM-PLT-000003,East Meridian Uplands,PRIMARY,PRESERVED_PROPOSED_UNGAZETTED,false,SHARED_REFERENCE
