relationship_id,subject_feature_id,subject_physical_id,relationship_type,object_id,evidence_basis,runtime_effect_scope
hydrorel:nngla:18bd84807ea6f49b626ed5fbd8db64161e0d737f7091659a4f0874342d5a590a,NG-FEAT-000006,river:novegeo:r000005,MEMBER_OF_DRAINAGE_NETWORK,drainage:novegeo:d000001,QUALIFIED_HYDROLOGY_V001,SHARED_REFERENCE
hydrorel:nngla:1eb8cc2c76dea79f6595d8d0787411e764b44b2565797cc110fbf8f9596783b4,NG-FEAT-000002,river:novegeo:r000001,MEMBER_OF_DRAINAGE_NETWORK,drainage:novegeo:d000001,QUALIFIED_HYDROLOGY_V001,SHARED_REFERENCE
hydrorel:nngla:2043ffa6dec939503064d3b525843ef812e6b81e44ee15490b03ba62de49e6c4,NG-FEAT-000008,lake:novegeo:l000002,MEMBER_OF_DRAINAGE_NETWORK,drainage:novegeo:d000003,QUALIFIED_HYDROLOGY_V001,SHARED_REFERENCE
hydrorel:nngla:2ba4a5ff275d92e1ba9c93066b3ba81dbfcb118eda2f688c6e0fcf2404d9c748,NG-FEAT-000007,lake:novegeo:l000001,CLOSED_BASIN,drainage:novegeo:d000002,QUALIFIED_HYDROLOGY_CLOSED_BASIN,SHARED_REFERENCE
hydrorel:nngla:324d66c042248e8832fe27db7283c71721ac3839fd3c6b0f6708c906a186b071,NG-FEAT-000002,river:novegeo:r000001,RECEIVES_TRIBUTARY_AT,river:novegeo:r000005,"junction:novegeo:j000003@34.72,2.152533",SHARED_REFERENCE
hydrorel:nngla:3461d3711c2a2791910b370e49ac694f6487898b88dc549cb4eac37ffed247d2,NG-FEAT-000002,river:novegeo:r000001,RECEIVES_TRIBUTARY_AT,river:novegeo:r000003,"junction:novegeo:j000001@36.82,4.252533",SHARED_REFERENCE
hydrorel:nngla:459e42b84e8ded9cd402bf5c5fdf9f7cd2c9abb316cf0787333f6a474bf5f777,NG-FEAT-000004,river:novegeo:r000003,MEMBER_OF_DRAINAGE_NETWORK,drainage:novegeo:d000001,QUALIFIED_HYDROLOGY_V001,SHARED_REFERENCE
hydrorel:nngla:4b403ae1434c991ba4432a4ea5036307ec517b2bda304eebacb97c89cef789ab,NG-FEAT-000002,river:novegeo:r000001,CROSSED_BY_ROAD,NG-RD-000339,BUNDLE20A_GEOMETRIC_CROSSING_NOT_BRIDGE_ASSERTION,SHARED_REFERENCE
hydrorel:nngla:54d5a042cd835b7f701efffd1ac0a41c7ed24d3cc53e1708bb996eb37728299a,NG-FEAT-000008,lake:novegeo:l000002,CLOSED_BASIN,drainage:novegeo:d000003,QUALIFIED_HYDROLOGY_CLOSED_BASIN,SHARED_REFERENCE
hydrorel:nngla:69428e42388657744e4fbc901eca84d0d92789da258a8277501a59122bfe631a,NG-FEAT-000002,river:novegeo:r000001,FLOWS_TO_COAST,coast:novegeo,QUALIFIED_HYDROLOGY_OUTLET,SHARED_REFERENCE
hydrorel:nngla:8eda336961abe3fac4a7783166a81fbdbe465564ae21f565d8c943b9ad97c4ca,NG-FEAT-000005,river:novegeo:r000004,MEMBER_OF_DRAINAGE_NETWORK,drainage:novegeo:d000001,QUALIFIED_HYDROLOGY_V001,SHARED_REFERENCE
hydrorel:nngla:99aa13a5c4dadcde3dd0656e76557a7e42675cca635d4b9ea82a435e712d142f,NG-FEAT-000009,lake:novegeo:l000003,CLOSED_BASIN,drainage:novegeo:d000004,QUALIFIED_HYDROLOGY_CLOSED_BASIN,SHARED_REFERENCE
hydrorel:nngla:9ccda8e8e317f4f0c0ca18f03685a74ab00c754066860fbb4192e1ac47dbdfb4,NG-FEAT-000002,river:novegeo:r000001,CROSSED_BY_ROAD,NG-RD-000345,BUNDLE20A_GEOMETRIC_CROSSING_NOT_BRIDGE_ASSERTION,SHARED_REFERENCE
