projection_candidate_id,subject_id,record_family,display_name,runtime_mode,current_decision,blocking_reasons,geometry_reference,publication_reference,read_model_version
readcandidate:nngla:bf26113b61d4d0e6dcf78646f73af5f99739b1aa1f8b0dbe0469ba184fa1c9e2,NG-PLC-000001,PLACE,Orivane,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:4e955373fbccb73360323c582b69ad23ccfdf8df254beae3cedf1f5d685affbb,NG-PLC-000002,PLACE,Bellwether,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:c97a2d2dfc5be2988c0b4f03040970dbe49b9de7a738872f932681d561341379,NG-PLC-000003,PLACE,New Carrow,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:b34c583e9be60bb580b543a68948879365da600a721e011bd6642a0316ab19a9,NG-PLC-000004,PLACE,East Meridian,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:7b7357d3e6d7fde6c16f073ab2da7ec5ebce363755e91c27ae0cfcd1975df371,NG-PLC-000005,PLACE,Orivane Central,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:db9593f1ddcc0a420647e286d89c265e423e79fac3dd08a57a853dd50f38c5ee,NG-PLC-000006,PLACE,Civic Crescent,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:d6493f151b69d34daea6ff4c8af25ea0dd0515c0498a13f9fc0ac1b59854958c,NG-PLC-000007,PLACE,Parliament Hill,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:e9a6dcd0d2c52bf52b69a54aa607b9d522a704ad91420652ec10dac43710f71b,NG-PLC-000008,PLACE,Meridian Exchange,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:131f0ba00120fedd4c22aeea3f37ddbaccbfe13b8300d2c52df0b889f92fb508,NG-PLC-000009,PLACE,Old Orivane,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:1af0fa5cea106d86d1735671983f6846a8407febc8fadb1b4d3e452aac50fc48,NG-PLC-000010,PLACE,Northmere Quarter,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:3679042bc8cebfbd832710acf567ee1bbd0df6306a6438125d3edfef12a64393,NG-PLC-000011,PLACE,Embassy Arc,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:05c6f8153f2b75d6e18c68b53cc34e107f06fa07c082c8dee37a66f77621a835,NG-PLC-000012,PLACE,University Ring,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:033308b3779e948db93f5bdfc452b77f6ec378a0c4ed3e92c96e3c0b9ceb4e23,NG-PLC-000013,PLACE,Vondrel Gardens,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:c46c3e500ecf612ccc85b5a3681c73f8cbcbfb5c2b34d40820313230c459c37b,NG-PLC-000014,PLACE,Lysara Heights,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:4477e41d058b94c0630ea4d40ce170024791cf7708fcad302e79d76c166276c7,NG-PLC-000015,PLACE,Varenza,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:84e1b7ea588a56313c95686825cc4b6735be9de6274e0b76ee640377ef8498d9,NG-PLC-000016,PLACE,Tekhara Gardens,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:e9f7a6d242d458c023fe81e0e5f4305b361a82e416b7c842f76b08ba9ea7224b,NG-PLC-000017,PLACE,Elvarin,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:44cd03f577b80320b4beca71377473f2e547b90df60a151938ff2c1c2e33c0f7,NG-PLC-000018,PLACE,Nyavelle,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:c549142fd26aa0cdc0bc87ecb09718b05d353442a18fab3309616fec7027a503,NG-PLC-000019,PLACE,Moraen Park,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:6c5ae46e99ee530c5b1ccb74eebce2b50a5c08a3a53eb0573d5c79629f57b082,NG-PLC-000020,PLACE,Tekkai,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:fedd26bd254a4c74826c942948b1362c535ae363f43d7af007a9ad0269ab4010,NG-PLC-000021,PLACE,Vondel Ridge,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:9fc1226bca856a27656fdb18367de3e64fb1fc8e76aa0ae1d9e7df4267006d06,NG-PLC-000022,PLACE,Aelmar,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:84cb90cac10b54ef15aaa68e44be1a7e426023fa05e5b02d435e100021adac3b,NG-PLC-000023,PLACE,Sabaro,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:4b6a7a31d845e0d7a40c26d40329df2fe228afacbf7c983af0e5bba63990a2a4,NG-PLC-000024,PLACE,Trossgate,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:02babb98ee5ab66b777a8ae48fdb008d8b0ff69dab7925d1f55fb0c9baf88465,NG-PLC-000025,PLACE,Ashbourne,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:e8ed2776ee26679856c2e009ac3c7d653079d222cd1efad27e542eeb222007a8,NG-PLC-000026,PLACE,Crescenton,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:e4ead64354819625342f5da500c248c6cb6d0cf312a392758d612433e112ef39,NG-PLC-000027,PLACE,Elmtree,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:4a08a35ed517df6d239c9994b48ce3e6418a1675d41b9dd34fd304a04179d9ea,NG-PLC-000028,PLACE,Faircross,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:55f10c613439ff8639faf877467827f5d920132579764d07ab5b5b55c2b67073,NG-PLC-000029,PLACE,Kingswell,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:585fb21e6107aa29dcae2bc5b0e8de36d65b78784ac9127ef6ae6bb4f8354f64,NG-PLC-000030,PLACE,Brackenford,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:eda79687afe08be43827330aa6d75b268f333be0f003cfaf1ae978218178f8dd,NG-PLC-000031,PLACE,Rosehaven,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:19eb88849a85c78bb4e592c2cfd3f5884d2ebb1489000febcd3219d2fc484135,NG-PLC-000032,PLACE,Claybourne,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:800c8caff56944f18affe66ae4bfb051371ee50e146bf140879562af4a30369d,NG-PLC-000033,PLACE,Newstead,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
readcandidate:nngla:a0dc3e1d8d7b8ad24a4f3ec1c8910c16e70a9be3389cc67f7485900bba58e9e4,NG-PLC-000034,PLACE,Larkspur,simulation,BLOCKED,NAME_NOT_PUBLIC|NO_NNGLA_PUBLICATION_RECORD,,,1
