subject_id,record_family,display_name,geometry_reference,naming_status,lifecycle_status,spatial_status,geometry_publication_status
NG-PLC-000001,PLACE,Orivane,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000002,PLACE,Bellwether,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000003,PLACE,New Carrow,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000004,PLACE,East Meridian,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000005,PLACE,Orivane Central,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000006,PLACE,Civic Crescent,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000007,PLACE,Parliament Hill,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000008,PLACE,Meridian Exchange,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000009,PLACE,Old Orivane,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000010,PLACE,Northmere Quarter,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000011,PLACE,Embassy Arc,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000012,PLACE,University Ring,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000013,PLACE,Vondrel Gardens,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000014,PLACE,Lysara Heights,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000015,PLACE,Varenza,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000016,PLACE,Tekhara Gardens,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000017,PLACE,Elvarin,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000018,PLACE,Nyavelle,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000019,PLACE,Moraen Park,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000020,PLACE,Tekkai,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000021,PLACE,Vondel Ridge,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000022,PLACE,Aelmar,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000023,PLACE,Sabaro,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000024,PLACE,Trossgate,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000025,PLACE,Ashbourne,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000026,PLACE,Crescenton,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000027,PLACE,Elmtree,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000028,PLACE,Faircross,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000029,PLACE,Kingswell,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000030,PLACE,Brackenford,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000031,PLACE,Rosehaven,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000032,PLACE,Claybourne,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000033,PLACE,Newstead,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000034,PLACE,Larkspur,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000035,PLACE,Eastbridge,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000036,PLACE,Hillmark,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000037,PLACE,Greyhaven,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000038,PLACE,Willowgate,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000039,PLACE,Stoneleigh,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000040,PLACE,Maple Junction,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000041,PLACE,South Bell,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000042,PLACE,Orchard End,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000043,PLACE,Carrowfield,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000044,PLACE,West Carrow,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000045,PLACE,Low Crescent,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000046,PLACE,Meridian Gate,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000047,PLACE,Railview,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000048,PLACE,Eastbank,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000049,PLACE,Lower Ashbourne,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000050,PLACE,Ashbourne Green,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000051,PLACE,Old Crescenton,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000052,PLACE,Crescenton Fields,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000053,PLACE,Elmtree Hollow,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000054,PLACE,Elmtree Brook,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000055,PLACE,Faircross Cross,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000056,PLACE,Faircross Vale,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000057,PLACE,North Kingswell,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000058,PLACE,Kingswell End,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000059,PLACE,Brackenford Heath,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000060,PLACE,Brackenford Grove,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000061,PLACE,Upper Rosehaven,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000062,PLACE,Rosehaven Meadow,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000063,PLACE,Claybourne Ford,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000064,PLACE,Claybourne Common,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000065,PLACE,Little Newstead,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000066,PLACE,Newstead Rise,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000067,PLACE,Larkspur Hill,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
NG-PLC-000068,PLACE,Larkspur Springs,,PROPOSED,QUALIFIED_PENDING_LIVE_ASSOCIATION,,NOT_PUBLISHED
