source_file_id,filename,source_path,source_family,dataset_id,dataset_version,source_sha256,record_count,classification,evidence_role,contains_coordinates,contains_geometry,contains_names,already_canonical_domain,allowed_migration_action,status
NG-SPFILE-001,novegeo_climate_observations_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_climate_observations_v001.csv,01_spatial_fabric,dataset:novegeo:climate:baseline,1,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,276,EXISTING_SPATIAL_V001,ENVIRONMENT_OBSERVATION,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-002,novegeo_elevation_observations_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_elevation_observations_v001.csv,01_spatial_fabric,dataset:novegeo:terrain:elevation,1,8844b36a1a9b61d41fd740c32f5cc4d7b582372a05f3720ae829745dcea6025e,1104,EXISTING_SPATIAL_V001,ENVIRONMENT_OBSERVATION,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-003,novegeo_major_grid_boxes_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_major_grid_boxes_v001.csv,01_spatial_fabric,dataset:novegeo:pwa:major-grid:v001,1,3f8dcaf237a1472ac92efa45d9ebca44bdafb55b6616a66f3221de646c8ffb82,16,EXISTING_SPATIAL_V001,SPATIAL_REFERENCE_GRID,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-004,novegeo_rainfall_systems_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_rainfall_systems_v001.csv,01_spatial_fabric,dataset:novegeo:climate:baseline,1,e35e47230c4a4126f7933d27a01836013ed0d079894348bcc25f1b40c9abac4f,2,EXISTING_SPATIAL_V001,ENVIRONMENT_SYSTEM,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-005,novegeo_sovereign_parts_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_sovereign_parts_v001.csv,01_spatial_fabric,dataset:novegeo:world-boundary:parts:v002,1,66240f519a0982815c3fc95c1f82b5da88d5c98df56d64d3a3e060d5a7591b90,6,EXISTING_SPATIAL_V001,SOVEREIGN_PART_REFERENCE,true,false,false,SOVEREIGN_BOUNDARY,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-006,novegeo_spatial_grid_cells_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_spatial_grid_cells_v001.csv,01_spatial_fabric,dataset:novegeo:spatial-fabric:cells:v001,1,54de16690703fbe7b6177c4ded764bbc5e7567a637feb3e09ff02eb1fcd60773,1104,EXISTING_SPATIAL_V001,ENVIRONMENTAL_REFERENCE_CELL,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-007,novegeo_spatial_grid_points_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_spatial_grid_points_v001.csv,01_spatial_fabric,dataset:novegeo:terrain:elevation,1,1fa140923c2d0b38f78725f6875fab4e883fb922215cd22945613bd44e679a2b,1104,EXISTING_SPATIAL_V001,SPATIAL_REFERENCE_POINT,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-008,novegeo_vegetation_observations_v001.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_vegetation_observations_v001.csv,01_spatial_fabric,dataset:novegeo:vegetation:baseline,1,d2e1ae846066071815014ebedbc69abc17660a59de5e3ebd721b0482809cf034,276,EXISTING_SPATIAL_V001,ENVIRONMENT_OBSERVATION,true,false,false,NONE,QUALIFY_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-009,novegeo_world_boundary_v002_segment-ledger.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_world_boundary_v002_segment-ledger.csv,01_spatial_fabric,dataset:novegeo:world-boundary:segments:v002,2,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,38,EXISTING_SPATIAL_V001,SOVEREIGN_BOUNDARY_SEGMENT_EVIDENCE,false,true,false,SOVEREIGN_BOUNDARY,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
NG-SPFILE-010,novegeo_world_boundary_v002_vertices.csv,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_world_boundary_v002_vertices.csv,01_spatial_fabric,dataset:novegeo:world-boundary:vertices:v002,2,c5ce66daa2119d5f4539f438dafec40091b234638e750f49b42ad88ddd0cc026,1054,EXISTING_SPATIAL_V001,SOVEREIGN_GEOMETRY_EVIDENCE,true,true,false,SOVEREIGN_BOUNDARY,RECONCILE_ONLY,ACTIVE_SOURCE_EVIDENCE
