climate_observation_id,spatial_point_id,longitude,latitude,annual_rainfall_mm,mean_temperature_c,mean_wind_speed_mps,prevailing_wind_direction_deg,climate_class,baseline_period,qualification_status,source_dataset_id,source_dataset_version,source_path_reference,source_sha256,runtime_effect_scope
NG-CLIM-OBS-000001,NG-SPT-000001,35.14,-7.507467,559,25.6,4.8,38,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000002,NG-SPT-000005,36.82,-7.507467,562,25.4,4.8,43,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000003,NG-SPT-000009,38.5,-7.507467,564,25.3,5.2,48,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000004,NG-SPT-000013,34.72,-7.087467,564,25.4,4.8,39,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000005,NG-SPT-000017,36.4,-7.087467,570,25.1,4.7,44,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000006,NG-SPT-000021,38.08,-7.087467,575,24.8,5.1,49,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000007,NG-SPT-000025,39.76,-7.087467,572,25.0,5.4,54,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000008,NG-SPT-000029,33.04,-6.667467,563,25.6,5.1,36,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000009,NG-SPT-000033,34.72,-6.667467,573,25.2,4.8,41,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000010,NG-SPT-000037,36.4,-6.667467,583,24.7,4.6,46,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000011,NG-SPT-000041,38.08,-6.667467,592,24.1,5.1,51,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000012,NG-SPT-000045,39.76,-6.667467,586,24.4,5.4,56,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
NG-CLIM-OBS-000013,NG-SPT-000049,31.78,-6.247467,564,25.6,5.3,34,DRY_SUBHUMID,governed_climatology_v001,QUALIFIED,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,46a56b00792ffd6deae46861201b12b8ca47b9dfeacae43619fb58ee0a9114ac,SHARED_REFERENCE
