elevation_observation_id,spatial_point_id,longitude,latitude,elevation_m,elevation_datum_id,terrain_class,qualification_status,source_dataset_id,source_dataset_version,source_path_reference,source_sha256,runtime_effect_scope
NG-ELEV-OBS-000001,NG-SPT-000001,35.14,-7.507467,341,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000002,NG-SPT-000002,35.56,-7.507467,349,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000003,NG-SPT-000003,35.98,-7.507467,355,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000004,NG-SPT-000004,36.4,-7.507467,360,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000005,NG-SPT-000005,36.82,-7.507467,366,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000006,NG-SPT-000006,37.24,-7.507467,373,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000007,NG-SPT-000007,37.66,-7.507467,381,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000008,NG-SPT-000008,38.08,-7.507467,387,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000009,NG-SPT-000009,38.5,-7.507467,390,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000010,NG-SPT-000010,33.46,-7.087467,334,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000011,NG-SPT-000011,33.88,-7.087467,345,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000012,NG-SPT-000012,34.3,-7.087467,359,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000013,NG-SPT-000013,34.72,-7.087467,372,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000014,NG-SPT-000014,35.14,-7.087467,385,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000015,NG-SPT-000015,35.56,-7.087467,397,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000016,NG-SPT-000016,35.98,-7.087467,409,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000017,NG-SPT-000017,36.4,-7.087467,420,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000018,NG-SPT-000018,36.82,-7.087467,432,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000019,NG-SPT-000019,37.24,-7.087467,446,datum:novegeo:elevation:mean-sea-level,VALLEY,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000020,NG-SPT-000020,37.66,-7.087467,460,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000021,NG-SPT-000021,38.08,-7.087467,472,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000022,NG-SPT-000022,38.5,-7.087467,478,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000023,NG-SPT-000023,38.92,-7.087467,476,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
NG-ELEV-OBS-000024,NG-SPT-000024,39.34,-7.087467,466,datum:novegeo:elevation:mean-sea-level,PLAIN,QUALIFIED,dataset:novegeo:terrain:elevation,1,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,f03d14ce483280aff6662dc808c840a14a4cd035fedd4fe87786649f326f001c,SHARED_REFERENCE
