major_grid_id,grid_row_from_north,grid_column_from_west,west_longitude,east_longitude,south_latitude,north_latitude,crs_code,grid_role,terrain_sample_count,climate_sample_count,vegetation_sample_count,sovereign_land_intersects,equator_relation,source_basis,runtime_effect_scope
NG-MGRID-01-01,1,1,29.05,30.0,5.0,7.85,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,0,0,0,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-01-02,1,2,30.0,35.0,5.0,7.85,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,64,17,17,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-01-03,1,3,35.0,40.0,5.0,7.85,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,76,18,18,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-01-04,1,4,40.0,44.805229,5.0,7.85,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,14,3,3,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-02-01,2,1,29.05,30.0,0.0,5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,15,5,5,true,SOUTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-02-02,2,2,30.0,35.0,0.0,5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,144,36,36,true,SOUTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-02-03,2,3,35.0,40.0,0.0,5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,144,36,36,true,SOUTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-02-04,2,4,40.0,44.805229,0.0,5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,107,26,26,true,SOUTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-03-01,3,1,29.05,30.0,-5.0,0.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,15,3,3,true,NORTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-03-02,3,2,30.0,35.0,-5.0,0.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,144,36,36,true,NORTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-03-03,3,3,35.0,40.0,-5.0,0.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,144,36,36,true,NORTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-03-04,3,4,40.0,44.805229,-5.0,0.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,106,27,27,true,NORTH_EDGE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-04-01,4,1,29.05,30.0,-7.717467,-5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,0,0,0,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-04-02,4,2,30.0,35.0,-7.717467,-5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,43,11,11,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-04-03,4,3,35.0,40.0,-7.717467,-5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,69,18,18,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
NG-MGRID-04-04,4,4,40.0,44.805229,-7.717467,-5.0,EPSG:4326,PWA_5_DEGREE_GRATICULE_REFERENCE,19,4,4,true,NONE,frontend/src/map/presentation/coordinate-grid.js + qualified geography extent,SHARED_REFERENCE
