vegetation_observation_id,source_vegetation_cell_id,spatial_point_id,longitude,latitude,vegetation_class,aridity_class,source_annual_rainfall_mm,source_mean_temperature_c,qualification_status,source_dataset_id,source_dataset_version,source_path_reference,source_sha256,runtime_effect_scope
NG-VEG-OBS-000001,vegetation:novegeo:cell:000001,NG-SPT-000001,35.14,-7.507467,ARID_SURFACE,ARID,559,25.6,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000002,vegetation:novegeo:cell:000002,NG-SPT-000005,36.82,-7.507467,ARID_SURFACE,ARID,562,25.4,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000003,vegetation:novegeo:cell:000003,NG-SPT-000009,38.5,-7.507467,ARID_SURFACE,ARID,564,25.3,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000004,vegetation:novegeo:cell:000004,NG-SPT-000013,34.72,-7.087467,ARID_SURFACE,ARID,564,25.4,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000005,vegetation:novegeo:cell:000005,NG-SPT-000017,36.4,-7.087467,ARID_SURFACE,ARID,570,25.1,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000006,vegetation:novegeo:cell:000006,NG-SPT-000021,38.08,-7.087467,ARID_SURFACE,ARID,575,24.8,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000007,vegetation:novegeo:cell:000007,NG-SPT-000025,39.76,-7.087467,ARID_SURFACE,ARID,572,25.0,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000008,vegetation:novegeo:cell:000008,NG-SPT-000029,33.04,-6.667467,ARID_SURFACE,ARID,563,25.6,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000009,vegetation:novegeo:cell:000009,NG-SPT-000033,34.72,-6.667467,ARID_SURFACE,ARID,573,25.2,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
NG-VEG-OBS-000010,vegetation:novegeo:cell:000010,NG-SPT-000037,36.4,-6.667467,ARID_SURFACE,ARID,583,24.7,QUALIFIED,dataset:novegeo:vegetation:baseline,1,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,e1621047a8f5cf8ae628951c1880ef15321b3bc74db31b2d51bb51094ae125bc,SHARED_REFERENCE
