polygon_id,ring_id,vertex_sequence,longitude,latitude,vertex_role
polygon-01,ring-01,0,30.150000,-5.950000,mainland_boundary
polygon-01,ring-01,1,30.116022,-5.863864,mainland_boundary
polygon-01,ring-01,2,30.080676,-5.778197,mainland_boundary
polygon-01,ring-01,3,30.046741,-5.692046,mainland_boundary
polygon-01,ring-01,4,30.010907,-5.606546,mainland_boundary
polygon-01,ring-01,5,29.982559,-5.518480,mainland_boundary
polygon-01,ring-01,6,29.962067,-5.427720,mainland_boundary
polygon-01,ring-01,7,29.929485,-5.341105,mainland_boundary
polygon-01,ring-01,8,29.887509,-5.257711,mainland_boundary
polygon-01,ring-01,9,29.859876,-5.169400,mainland_boundary
polygon-01,ring-01,10,29.841894,-5.077779,mainland_boundary
polygon-01,ring-01,11,29.818431,-4.988038,mainland_boundary
polygon-01,ring-01,12,29.801493,-4.896059,mainland_boundary
polygon-01,ring-01,13,29.793308,-4.801080,mainland_boundary
polygon-01,ring-01,14,29.768843,-4.711682,mainland_boundary
polygon-01,ring-01,15,29.725547,-4.628741,mainland_boundary
polygon-01,ring-01,16,29.684892,-4.544894,mainland_boundary
polygon-01,ring-01,17,29.649070,-4.459390,mainland_boundary
polygon-01,ring-01,18,29.611718,-4.374411,mainland_boundary
polygon-01,ring-01,19,29.578961,-4.287856,mainland_boundary
polygon-01,ring-01,20,29.550000,-4.200000,mainland_boundary
polygon-01,ring-01,21,29.526143,-4.091011,mainland_boundary
polygon-01,ring-01,22,29.506481,-3.981355,mainland_boundary
polygon-01,ring-01,23,29.489232,-3.871315,mainland_boundary
polygon-01,ring-01,24,29.481516,-3.759759,mainland_boundary
polygon-01,ring-01,25,29.478163,-3.647508,mainland_boundary
polygon-01,ring-01,26,29.460047,-3.537606,mainland_boundary
polygon-01,ring-01,27,29.435250,-3.428767,mainland_boundary
polygon-01,ring-01,28,29.424154,-3.317748,mainland_boundary
polygon-01,ring-01,29,29.415413,-3.206355,mainland_boundary
polygon-01,ring-01,30,29.397791,-3.096374,mainland_boundary
polygon-01,ring-01,31,29.387755,-2.985187,mainland_boundary
polygon-01,ring-01,32,29.381929,-2.873329,mainland_boundary
polygon-01,ring-01,33,29.354301,-2.764941,mainland_boundary
polygon-01,ring-01,34,29.312338,-2.658833,mainland_boundary
polygon-01,ring-01,35,29.281600,-2.550939,mainland_boundary
polygon-01,ring-01,36,29.258946,-2.441759,mainland_boundary
polygon-01,ring-01,37,29.236574,-2.332534,mainland_boundary
polygon-01,ring-01,38,29.222622,-2.221969,mainland_boundary
polygon-01,ring-01,39,29.213766,-2.110594,mainland_boundary
polygon-01,ring-01,40,29.200000,-2.000000,mainland_boundary
polygon-01,ring-01,41,29.194681,-1.877366,mainland_boundary
polygon-01,ring-01,42,29.192774,-1.754524,mainland_boundary
polygon-01,ring-01,43,29.197220,-1.631293,mainland_boundary
polygon-01,ring-01,44,29.199681,-1.508183,mainland_boundary
polygon-01,ring-01,45,29.185387,-1.386099,mainland_boundary
polygon-01,ring-01,46,29.166667,-1.264286,mainland_boundary
polygon-01,ring-01,47,29.159156,-1.141786,mainland_boundary
polygon-01,ring-01,48,29.149286,-1.019431,mainland_boundary
