transition_id,from_status,to_status,requires_production_authority,retains_feature_identity,terminal_transition,status
feattransition:nngla:detected:discovered,DETECTED,DISCOVERED,false,true,false,ACTIVE
feattransition:nngla:discovered:provisional,DISCOVERED,PROVISIONAL,false,true,false,ACTIVE
feattransition:nngla:provisional:observed,PROVISIONAL,OBSERVED,false,true,false,ACTIVE
feattransition:nngla:observed:survey_pending,OBSERVED,SURVEY_PENDING,false,true,false,ACTIVE
feattransition:nngla:observed:classified,OBSERVED,CLASSIFIED,false,true,false,ACTIVE
feattransition:nngla:survey_pending:surveyed,SURVEY_PENDING,SURVEYED,false,true,false,ACTIVE
feattransition:nngla:surveyed:classified,SURVEYED,CLASSIFIED,false,true,false,ACTIVE
feattransition:nngla:classified:recognized,CLASSIFIED,RECOGNIZED,true,true,false,ACTIVE
feattransition:nngla:recognized:active,RECOGNIZED,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:inactive,ACTIVE,INACTIVE,true,true,false,ACTIVE
feattransition:nngla:inactive:active,INACTIVE,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:seasonal,ACTIVE,SEASONAL,true,true,false,ACTIVE
feattransition:nngla:seasonal:active,SEASONAL,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:dry,ACTIVE,DRY,true,true,false,ACTIVE
feattransition:nngla:dry:active,DRY,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:submerged,ACTIVE,SUBMERGED,true,true,false,ACTIVE
feattransition:nngla:submerged:active,SUBMERGED,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:disputed,ACTIVE,DISPUTED,true,true,false,ACTIVE
feattransition:nngla:disputed:active,DISPUTED,ACTIVE,true,true,false,ACTIVE
feattransition:nngla:active:extinct,ACTIVE,EXTINCT,true,true,true,ACTIVE
feattransition:nngla:active:retired,ACTIVE,RETIRED,true,true,true,ACTIVE
feattransition:nngla:active:superseded,ACTIVE,SUPERSEDED,true,true,true,ACTIVE
feattransition:nngla:provisional:retired,PROVISIONAL,RETIRED,true,true,true,ACTIVE
