rule_set_id,feature_type_code,engine_domain,geometry_expectation,requires_physical_observation,requires_geometry,requires_spatial_qualification,requires_environment_qualification,requires_conflict_qualification,existing_canonical_reuse_allowed,simulation_may_form_candidate,production_recognition_required,allow_reclassification_same_identity,allow_retirement_without_delete,status
featrule:nngla:mainland,MAINLAND,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:island,ISLAND,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:river,RIVER,PHYSICAL_FEATURE_RECOGNITION,LINESTRING,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:lake,LAKE,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:waterbody,WATERBODY,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:drainage_channel,DRAINAGE_CHANNEL,PHYSICAL_FEATURE_RECOGNITION,LINESTRING,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:confluence,CONFLUENCE,PHYSICAL_FEATURE_RECOGNITION,POINT,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:mountain,MOUNTAIN,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:hill,HILL,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:valley,VALLEY,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:plateau,PLATEAU,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:plain,PLAIN,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:forest,FOREST,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:wetland,WETLAND,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:bay,BAY,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:cape,CAPE,PHYSICAL_FEATURE_RECOGNITION,POINT_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:coastline,COASTLINE,PHYSICAL_FEATURE_RECOGNITION,LINESTRING,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:ocean,OCEAN,PHYSICAL_FEATURE_RECOGNITION,POLYGON_OR_MULTIPOLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:estuary,ESTUARY,PHYSICAL_FEATURE_RECOGNITION,LINESTRING_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:natural_harbour,NATURAL_HARBOUR,PHYSICAL_FEATURE_RECOGNITION,POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:beach,BEACH,PHYSICAL_FEATURE_RECOGNITION,LINESTRING_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
featrule:nngla:cliff,CLIFF,PHYSICAL_FEATURE_RECOGNITION,LINESTRING_OR_POLYGON,true,true,true,true,true,true,true,true,true,true,ACTIVE
