authorization_rule_id,command_code,runtime_code,required_permission,approval_required,allowed_effect_scope,status
auth:reserve_parcel_reference:production,RESERVE_PARCEL_REFERENCE,production,nngla.reserve_parcel_reference,true,RUNTIME_SCOPED,ACTIVE
auth:recognize_parcel:production,RECOGNIZE_PARCEL,production,nngla.recognize_parcel,true,RUNTIME_SCOPED,ACTIVE
auth:subdivide_parcel:production,SUBDIVIDE_PARCEL,production,nngla.subdivide_parcel,true,RUNTIME_SCOPED,ACTIVE
auth:create_addressable_site:simulation,CREATE_ADDRESSABLE_SITE,simulation,nngla.create_addressable_site,true,RUNTIME_SCOPED,ACTIVE
auth:create_addressable_site:production,CREATE_ADDRESSABLE_SITE,production,nngla.create_addressable_site,true,RUNTIME_SCOPED,ACTIVE
auth:allocate_address:production,ALLOCATE_ADDRESS,production,nngla.allocate_address,true,RUNTIME_SCOPED,ACTIVE
auth:reserve_title_reference:production,RESERVE_TITLE_REFERENCE,production,nngla.reserve_title_reference,true,RUNTIME_SCOPED,ACTIVE
auth:issue_title:production,ISSUE_TITLE,production,nngla.issue_title,true,RUNTIME_SCOPED,ACTIVE
auth:associate_geometry:production,ASSOCIATE_GEOMETRY,production,nngla.associate_geometry,true,SHARED_REFERENCE,ACTIVE
auth:supersede_geometry:production,SUPERSEDE_GEOMETRY,production,nngla.supersede_geometry,true,SHARED_REFERENCE,ACTIVE
auth:recognize_feature:production,RECOGNIZE_FEATURE,production,nngla.recognize_feature,true,RUNTIME_SCOPED,ACTIVE
auth:reserve_name:production,RESERVE_NAME,production,nngla.reserve_name,true,SHARED_REFERENCE,ACTIVE
auth:approve_name:production,APPROVE_NAME,production,nngla.approve_name,true,SHARED_REFERENCE,ACTIVE
