command_code,command_version,domain_code,target_family,action_code,handler_key,allowed_runtimes,effect_scope_policy,identity_allocation_policy,approval_requirement,bulk_policy_code,status
RESERVE_PARCEL_REFERENCE,1,CADASTRE,PARCEL,RESERVE_REFERENCE,parcel.reserve_reference,production,RUNTIME_SCOPED,SOVEREIGN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
RECOGNIZE_PARCEL,1,CADASTRE,PARCEL,RECOGNIZE,parcel.recognize,production,RUNTIME_SCOPED,EXISTING_OR_ALLOCATED_REFERENCE,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
SUBDIVIDE_PARCEL,1,CADASTRE,PARCEL,SUBDIVIDE,parcel.subdivide,production,RUNTIME_SCOPED,CHILD_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
CREATE_ADDRESSABLE_SITE,1,ADDRESSING,ADDRESS_REFERENCE,CREATE_SITE,address.create_site,simulation|production,RUNTIME_SCOPED,DOMAIN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
ALLOCATE_ADDRESS,1,ADDRESSING,ADDRESS_REFERENCE,ALLOCATE_ADDRESS,address.allocate,production,RUNTIME_SCOPED,SOVEREIGN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
RESERVE_TITLE_REFERENCE,1,TITLES,TITLE,RESERVE_REFERENCE,title.reserve_reference,production,RUNTIME_SCOPED,SOVEREIGN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
ISSUE_TITLE,1,TITLES,TITLE,ISSUE,title.issue,production,RUNTIME_SCOPED,RESERVED_REFERENCE_ONLY,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
ASSOCIATE_GEOMETRY,1,GEOMETRY,GEOMETRY,ASSOCIATE,geometry.associate,production,SHARED_REFERENCE,EXISTING_GEOMETRY_ONLY,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
SUPERSEDE_GEOMETRY,1,GEOMETRY,GEOMETRY,SUPERSEDE,geometry.supersede,production,SHARED_REFERENCE,DOMAIN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
RECOGNIZE_FEATURE,1,FEATURE,GEOGRAPHIC_FEATURE,RECOGNIZE,feature.recognize,production,RUNTIME_SCOPED,SOVEREIGN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
RESERVE_NAME,1,NAMING,GEOGRAPHIC_NAME,RESERVE_NAME,name.reserve,production,SHARED_REFERENCE,SOVEREIGN_ALLOCATOR,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
APPROVE_NAME,1,NAMING,GEOGRAPHIC_NAME,APPROVE_NAME,name.approve,production,SHARED_REFERENCE,EXISTING_NAME_ID_ONLY,REQUIRED,BULK_ITEM_ATOMIC,ACTIVE
