query_code,query_version,operator_code,input_contract,result_contract,visibility_policy,backend_capability,status
SPATIAL_CONTAINS,1,CONTAINS,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
SPATIAL_WITHIN,1,WITHIN,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
SPATIAL_INTERSECTS,1,INTERSECTS,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
SPATIAL_CROSSES,1,CROSSES,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
SPATIAL_TOUCHES,1,TOUCHES,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
SPATIAL_ADJACENT,1,ADJACENT,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_OR_GOVERNED_EVIDENCE,ACTIVE
SPATIAL_NEAREST,1,NEAREST,SUBJECT_AND_FAMILY,DISTANCE_RESULT,GOVERNED_VISIBILITY,POSTGIS_KNN,ACTIVE
SPATIAL_DISTANCE,1,DISTANCE,TWO_SUBJECTS,DISTANCE_RESULT,GOVERNED_VISIBILITY,POSTGIS_GEODESIC,ACTIVE
SPATIAL_FRONTS,1,FRONTS,SITE_OR_SUBJECT,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,GOVERNED_FRONTAGE,ACTIVE
SPATIAL_CONNECTED_TO,1,CONNECTED_TO,TWO_SUBJECTS,RELATIONSHIP_RESULT,GOVERNED_VISIBILITY,POSTGIS_TOPOLOGY,ACTIVE
GEOCODE,1,,TEXT_AND_SCOPE,GEOCODE_RESULT,GOVERNED_VISIBILITY,NAME_INDEX,ACTIVE
REVERSE_GEOCODE,1,,COORDINATE,REVERSE_GEOCODE_STACK,GOVERNED_VISIBILITY,POSTGIS_CONTAINMENT,ACTIVE
FIND_BY_CANONICAL_ID,1,,SUBJECT_ID,SPATIAL_READ_RECORD,GOVERNED_VISIBILITY,READ_MODEL,ACTIVE
