result_contract_id,query_code,result_type,required_fields,distance_unit_policy,geometry_version_policy,ambiguity_policy,status
query-result:spatial_contains,SPATIAL_CONTAINS,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_within,SPATIAL_WITHIN,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_intersects,SPATIAL_INTERSECTS,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_crosses,SPATIAL_CROSSES,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_touches,SPATIAL_TOUCHES,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_adjacent,SPATIAL_ADJACENT,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_nearest,SPATIAL_NEAREST,DISTANCE_RESULT,from_subject_id|to_subject_id|distance_value|distance_unit|measurement_basis|source_crs|governed_crs,EXPLICIT_REQUIRED,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_distance,SPATIAL_DISTANCE,DISTANCE_RESULT,from_subject_id|to_subject_id|distance_value|distance_unit|measurement_basis|source_crs|governed_crs,EXPLICIT_REQUIRED,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_fronts,SPATIAL_FRONTS,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:spatial_connected_to,SPATIAL_CONNECTED_TO,RELATIONSHIP_RESULT,subject_id|operator|object_id|evidence_reference|geometry_reference|geometry_version|status,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
query-result:geocode,GEOCODE,GEOCODE_RESULT,status|normalized_query|matches,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,MULTIPLE_MATCHES_RETURNED,ACTIVE
query-result:reverse_geocode,REVERSE_GEOCODE,REVERSE_GEOCODE_STACK,subject_id|family|geometry_id|geometry_version|read_model_version,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,ALL_QUALIFIED_CONTAINERS,ACTIVE
query-result:find_by_canonical_id,FIND_BY_CANONICAL_ID,SPATIAL_READ_RECORD,subject_id|family|display_name|visibility|geometry_id|geometry_version|read_model_version,NOT_APPLICABLE,EXPLICIT_WHEN_GEOMETRY_SUPPORTS_RESULT,NOT_APPLICABLE,ACTIVE
