landform_reference_id,landform_version,landform_type,longitude,latitude,elevation_m,influence_radius_degrees,geometry_type,naming_status,qualification_status,terrain_dataset_id,terrain_dataset_version,source_dataset_id,source_path_reference,source_sha256,runtime_effect_scope
landform:novegeo:mountain:001,1,MOUNTAIN,34.72,2.152533,2778,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:mountain:002,1,MOUNTAIN,34.3,3.412533,2512,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:mountain:003,1,MOUNTAIN,34.3,0.892533,2472,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:valley:001,1,VALLEY,36.82,7.612533,170,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:valley:002,1,VALLEY,35.14,-7.507467,341,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:valley:003,1,VALLEY,35.14,7.612533,351,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plain:001,1,PLAIN,44.62,3.95,73,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plain:002,1,PLAIN,38.92,7.192533,125,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plain:003,1,PLAIN,37.24,7.612533,130,0.58,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plateau:001,1,PLATEAU,36.4,0.892533,1840,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plateau:002,1,PLATEAU,37.66,-3.307467,1827,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
landform:novegeo:plateau:003,1,PLATEAU,38.92,-3.727467,1822,0.72,POINT,UNNAMED,QUALIFIED_SOURCE,dataset:novegeo:terrain:elevation,1,dataset:novegeo:landforms,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,52730bfa2c71524cfb453b35b457fa0d8efd3a9a3ad49624ab04b631c71d56c4,SHARED_REFERENCE
