crs_crosswalk_id,source_file_id,source_dataset_id,source_crs_form,source_authority_name,source_authority_code,source_coordinate_reference_id,governed_crs_code,axis_order,horizontal_unit,reconciliation_basis,evidence_reference,qualification_status
NG-CRSXW-000001,NG-SPFILE-001,dataset:novegeo:climate:baseline,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_CLIMATE_LINEAGE,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,PASS
NG-CRSXW-000002,NG-SPFILE-002,dataset:novegeo:terrain:elevation,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_OR_DERIVED_TERRAIN_LINEAGE,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,PASS
NG-CRSXW-000003,NG-SPFILE-004,dataset:novegeo:climate:baseline,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_CLIMATE_LINEAGE,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,PASS
NG-CRSXW-000004,NG-SPFILE-005,dataset:novegeo:world-boundary:parts:v002,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000005,NG-SPFILE-006,dataset:novegeo:spatial-fabric:cells:v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_OR_DERIVED_TERRAIN_LINEAGE,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,PASS
NG-CRSXW-000006,NG-SPFILE-007,dataset:novegeo:terrain:elevation,EPSG:4326,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,ROW_DECLARED_EPSG4326_PLUS_QUALIFIED_LINEAGE,data/novegeo/geography/terrain/qualified/novegeo_terrain_v001.json,PASS
NG-CRSXW-000007,NG-SPFILE-008,dataset:novegeo:vegetation:baseline,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_VEGETATION_LINEAGE,data/novegeo/geography/vegetation/qualified/novegeo_vegetation_v001.json,PASS
NG-CRSXW-000008,NG-SPFILE-010,dataset:novegeo:world-boundary:vertices:v002,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000009,NG-SPFILE-012,dataset:novegeo:hydrology:surface-water,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_HYDROLOGY_LINEAGE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,PASS
NG-CRSXW-000010,NG-SPFILE-013,dataset:novegeo:hydrology:surface-water,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_HYDROLOGY_LINEAGE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,PASS
NG-CRSXW-000011,NG-SPFILE-014,dataset:novegeo:island-candidates-v001,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,QUALIFIED_BOUNDARY_OR_DERIVATIVE_LINEAGE,data/novegeo/geography/world-boundary/qualification/novegeo_world_boundary_v002_qualification.json,PASS
NG-CRSXW-000012,NG-SPFILE-015,dataset:novegeo:hydrology:surface-water,UNDECLARED_IN_ROW,EPSG,4326,crs:novegeo:geographic,NG-CRS-EPSG4326,LONGITUDE_LATITUDE,decimal_degree,SOURCE_HYDROLOGY_LINEAGE,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,PASS
