identifier_format_id,namespace_id,object_family,prefix,regex_pattern,sequence_width,case_sensitive,check_digit_rule,example_identifier,immutable,runtime_scoped,issuing_authority_code,status
fmt:canonical-place,ns:ng-plc,PLACE,NG-PLC-,^NG-PLC-\d{6}$,6,true,NONE,NG-PLC-000001,true,false,NNGLA,ACTIVE
fmt:canonical-admin,ns:ng-adm,ADMINISTRATIVE_AREA,NG-ADM-,^NG-ADM-\d{6}$,6,true,NONE,NG-ADM-000001,true,false,NNGLA,ACTIVE
fmt:canonical-feature,ns:ng-feat,GEOGRAPHIC_FEATURE,NG-FEAT-,^NG-FEAT-\d{6}$,6,true,NONE,NG-FEAT-000001,true,false,NNGLA,ACTIVE
fmt:road-candidate,ns:ng-rd-cand,ROAD_CANDIDATE,NG-RD-CAND-,^NG-RD-CAND-\d{6}$,6,true,NONE,NG-RD-CAND-000001,true,false,NNGLA,ACTIVE
fmt:admin-candidate,ns:ng-adm-cand,ADMINISTRATIVE_AREA_CANDIDATE,NG-ADM-CAND-,^NG-ADM-CAND-\d{6}$,6,true,NONE,NG-ADM-CAND-000001,true,false,NNGLA,ACTIVE
fmt:spatial-point,ns:ng-spt,SPATIAL_REFERENCE_POINT,NG-SPT-,^NG-SPT-\d{6}$,6,true,NONE,NG-SPT-000001,true,false,NNGLA,ACTIVE
fmt:spatial-cell,ns:ng-scell,SPATIAL_REFERENCE_CELL,NG-SCELL-,^NG-SCELL-\d{6}$,6,true,NONE,NG-SCELL-000001,true,false,NNGLA,ACTIVE
fmt:major-grid,ns:ng-mgrid,MAJOR_GRID,NG-MGRID-,^NG-MGRID-\d{2}-\d{2}$,,true,NONE,NG-MGRID-01-01,true,false,NNGLA,ACTIVE
fmt:elevation-observation,ns:ng-elev-obs,ELEVATION_OBSERVATION,NG-ELEV-OBS-,^NG-ELEV-OBS-\d{6}$,6,true,NONE,NG-ELEV-OBS-000001,true,false,NNGLA,ACTIVE
fmt:climate-observation,ns:ng-clim-obs,CLIMATE_OBSERVATION,NG-CLIM-OBS-,^NG-CLIM-OBS-\d{6}$,6,true,NONE,NG-CLIM-OBS-000001,true,false,NNGLA,ACTIVE
fmt:vegetation-observation,ns:ng-veg-obs,VEGETATION_OBSERVATION,NG-VEG-OBS-,^NG-VEG-OBS-\d{6}$,6,true,NONE,NG-VEG-OBS-000001,true,false,NNGLA,ACTIVE
fmt:sovereign-part,ns:ng-sov-part,SOVEREIGN_PART,NG-SOV-PART-,^NG-SOV-PART-\d{6}$,6,true,NONE,NG-SOV-PART-000001,true,false,NNGLA,ACTIVE
fmt:settlement-siting-request,ns:ng-sit-req,SETTLEMENT_SITING_REQUIREMENT,NG-SIT-REQ-,^NG-SIT-REQ-\d{6}$,6,true,NONE,NG-SIT-REQ-000001,true,false,NNGLA,ACTIVE
fmt:road-alignment-request,ns:ng-rdalign-req,ROAD_ALIGNMENT_REQUIREMENT,NG-RDALIGN-REQ-,^NG-RDALIGN-REQ-\d{6}$,6,true,NONE,NG-RDALIGN-REQ-000001,true,false,NNGLA,ACTIVE
fmt:admin-boundary-request,ns:ng-admbnd-req,ADMINISTRATIVE_BOUNDARY_REQUIREMENT,NG-ADMBND-REQ-,^NG-ADMBND-REQ-\d{6}$,6,true,NONE,NG-ADMBND-REQ-000001,true,false,NNGLA,ACTIVE
fmt:physical-island,ns:ng-island-phys,PHYSICAL_ISLAND_CANDIDATE,NG-ISLAND-PHYS-,^NG-ISLAND-PHYS-\d{6}$,6,true,NONE,NG-ISLAND-PHYS-000001,true,false,NNGLA,ACTIVE
